;Apr28_TPC_02-04-04_LMW_salt;Apr28_TPC_02-04-04_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,03548107;0,002317555;
652,284;0,03430362;0,001283016;
654,148;0,03351515;0,0006362378;
656,011;0,03300235;0,0002639371;
657,875;0,03268106;8,193869E-5;
659,739;0,03222476;-0,0002362458;
661,602;0,03191293;-0,0004111216;
663,466;0,03173791;-0,0004503338;
665,330;0,03147;-0,0005835921;
667,193;0,03162689;-0,0002931644;
669,057;0,03240679;0,000619156;
670,921;0,03243393;0,0007776122;
672,784;0,0327033;0,001177215;
674,648;0,03310994;0,001713005;
676,512;0,03350296;0,002234109;
678,375;0,03376947;0,002627648;
680,239;0,03408168;0,003065843;
682,103;0,03413007;0,003239195;
683,966;0,03386531;0,00309837;
685,830;0,03354602;0,002902009;
687,694;0,03356469;0,003042601;
689,557;0,03380296;0,003401813;
691,421;0,03411509;0,003833914;
693,285;0,03429315;0,004130974;
695,149;0,03433097;0,00428683;
697,012;0,0340031;0,004076064;
698,876;0,0335647;0,003753825;
700,740;0,03311928;0,003423639;
702,603;0,03283366;0,003252337;
704,467;0,0327898;0,003321898;
706,331;0,03267154;0,003316157;
708,194;0,0324072;0,003163445;
710,058;0,03242051;0,003287508;
711,922;0,03261703;0,003593907;
713,785;0,03266589;0,003751799;
715,649;0,03254499;0,003739074;
717,513;0,03222521;0,00352662;
719,376;0,0319002;0,003308112;
721,240;0,03172795;0,003241533;
723,104;0,03173087;0,003349314;
724,967;0,03177918;0,003501681;
726,831;0,03169732;0,003523065;
728,695;0,03170344;0,003631646;
730,558;0,03157441;0,003604299;
732,422;0,03144966;0,003580447;
734,286;0,0313261;0,003557023;
736,149;0,03123221;0,00356251;
738,013;0,03112679;0,003555708;
739,877;0,03100075;0,003527553;
741,740;0,0308339;0,003457848;
743,604;0,03078845;0,003508808;
745,468;0,03058952;0,003405568;
747,331;0,03050737;0,00341839;
749,195;0,03062989;0,003635184;
751,059;0,03061054;0,003709403;
752,922;0,03060729;0,003799017;
754,786;0,03080546;0,004089378;
756,650;0,0309401;0,004315519;
758,513;0,0310003;0,004466556;
760,377;0,03115017;0,004706592;
762,241;0,03143175;0,005077673;
764,104;0,03181977;0,005554546;
765,968;0,03219019;0,006013166;
767,832;0,03252909;0,006439624;
769,695;0,03308197;0,007079435;
771,559;0,03335133;0,00743509;
773,423;0,03358321;0,007752637;
775,286;0,03402733;0,008281822;
777,150;0,03441915;0,008758079;
779,014;0,03459281;0,009015585;
780,877;0,0346503;0,00915631;
782,741;0,03471844;0,009307096;
784,605;0,03459789;0,009268611;
786,468;0,03447159;0,009223787;
788,332;0,03456615;0,009399245;
790,196;0,03466625;0,009579667;
792,059;0,03494556;0,009938735;
793,923;0,03515836;0,01023074;
795,787;0,03530592;0,01045694;
797,650;0,03544972;0,01067884;
799,514;0,03552907;0,01083573;
801,378;0,0355981;0,01098177;
803,241;0,03569009;0,01115023;
805,105;0,03574122;0,0112773;
806,969;0,03602718;0,01163868;
808,832;0,03672124;0,01240763;
810,696;0,03727296;0,01303373;
812,560;0,03716409;0,01299873;
814,423;0,03780718;0,01371518;
816,287;0,0401699;0,01615076;
818,151;0,0454582;0,02151143;
820,014;0,05636907;0,03249416;
821,878;0,07465709;0,05085356;
823,742;0,09051824;0,06678561;
825,605;0,08472888;0,06106667;
827,469;0,06255988;0,03896761;
829,333;0,04701458;0,02349178;
831,196;0,04266508;0,01921129;
833,060;0,04113693;0,01775167;
834,924;0,03826309;0,01494592;
836,787;0,03592435;0,01267481;
838,651;0,03499559;0,01181323;
840,515;0,03459694;0,01148131;
842,378;0,03399029;0,01094095;
844,242;0,03316649;0,010183;
846,106;0,03251977;0,009601693;
847,969;0,03216096;0,00930787;
849,833;0,03205335;0,009264815;
851,697;0,03209894;0,009374547;
853,560;0,03242098;0,009760296;
855,424;0,03313138;0,010534;
857,288;0,0338944;0,01135991;
859,151;0,03475779;0,01228577;
861,015;0,03561065;0,01320071;
862,879;0,03645041;0,01410215;
864,742;0,03729605;0,01500905;
866,606;0,037938;0,01571188;
868,470;0,03790532;0,01573969;
870,333;0,03744718;0,01534164;
872,197;0,0371504;0,01510458;
874,061;0,03711175;0,01512526;
875,924;0,03688458;0,01495705;
877,788;0,03598749;0,01411854;
879,652;0,03475825;0,0129475;
881,515;0,03367175;0,01191884;
883,379;0,03280938;0,01111394;
885,243;0,03229689;0,01065856;
887,106;0,03185101;0,01026943;
888,970;0,03140757;0,009882392;
890,834;0,03100693;0,009537785;
892,697;0,03056748;0,009154032;
894,561;0,03014137;0,008783254;
896,425;0,02994267;0,008639556;
898,288;0,02984658;0,008598119;
900,152;0,02970899;0,008514844;
902,016;0,02962586;0,008485702;
903,879;0,0296427;0,008556179;
905,743;0,02956157;0,008528372;
907,607;0,0295496;0,008569383;
909,470;0,02963845;0,008710899;
911,334;0,02982847;0,008953259;
913,198;0,03001035;0,009187156;
915,061;0,0301534;0,009381905;
916,925;0,03027919;0,009559088;
918,789;0,03045577;0,009786733;
920,652;0,03074592;0,01012765;
922,516;0,03099595;0,01042814;
924,380;0,03123613;0,01071847;
926,243;0,03158918;0,01112137;
928,107;0,03192571;0,01150745;
929,971;0,03228896;0,01191995;
931,834;0,0326379;0,01231784;
933,698;0,0329185;0,01264711;
935,562;0,03314534;0,01292232;
937,425;0,03339205;0,01321712;
939,289;0,03364733;0,0135202;
941,153;0,03391892;0,01383931;
943,016;0,034106;0,01407362;
944,880;0,03432215;0,01433673;
946,744;0,03451609;0,01457734;
948,607;0,03475349;0,01486115;
950,471;0,034982;0,01513578;
952,335;0,03519245;0,01539209;
954,198;0,03543732;0,01568255;
956,062;0,03574186;0,01603243;
957,926;0,03602768;0,0163633;
959,789;0,03646471;0,01684513;
961,653;0,03700209;0,01742705;
963,517;0,037501;0,01797024;
965,380;0,03794883;0,01846209;
967,244;0,0384392;0,01899623;
969,108;0,03891049;0,01951104;
970,972;0,03940818;0,020052;
972,835;0,0399479;0,02063474;
974,699;0,04068462;0,02141422;
976,563;0,04145951;0,02223165;
978,426;0,04226552;0,02307994;
980,290;0,04329833;0,02415479;
982,154;0,04449096;0,02538923;
984,017;0,04580379;0,02674362;
985,881;0,04733501;0,02831618;
987,745;0,04885207;0,02987433;
989,608;0,05008565;0,03114878;
991,472;0,05065864;0,03176241;
993,336;0,05052601;0,03167019;
995,199;0,04997582;0,03116018;
997,063;0,04937978;0,03060409;
998,927;0,04869675;0,0299608;
1000,790;0,04810937;0,02941292;
1002,654;0,04766814;0,02901099;
1004,518;0,04736757;0,02874949;
1006,381;0,0472101;0,02863087;
1008,245;0,04721057;0,02866998;
1010,109;0,04732668;0,02882451;
1011,972;0,0475536;0,02908965;
1013,836;0,04774497;0,02931903;
1015,700;0,04799401;0,02960585;
1017,563;0,04831585;0,02996528;
1019,427;0,04868459;0,0303714;
1021,291;0,04902871;0,0307527;
1023,154;0,0494576;0,03121857;
1025,018;0,04995895;0,03175669;
1026,882;0,05045275;0,03228705;
1028,745;0,05102405;0,03289473;
1030,609;0,05171797;0,03362483;
1032,473;0,05244242;0,03438525;
1034,336;0,05329506;0,03527368;
1036,200;0,05434105;0,03635527;
1038,064;0,05552898;0,0375786;
1039,927;0,05683414;0,03891897;
1041,791;0,05841178;0,04053163;
1043,655;0,06016646;0,04232115;
1045,518;0,06210688;0,04429621;
1047,382;0,06408728;0,04631108;
1049,246;0,06604351;0,0483016;
1051,109;0,06727171;0,04956389;
1052,973;0,06818644;0,05051254;
1054,837;0,06941657;0,05177641;
1056,700;0,07091189;0,05330528;
1058,564;0,07248322;0,05491;
1060,428;0,07425109;0,05671107;
1062,291;0,07629785;0,05879086;
1064,155;0,07866339;0,06118927;
1066,019;0,0813521;0,06391066;
1067,882;0,08429147;0,06688255;
1069,746;0,08747793;0,07010136;
1071,610;0,09104079;0,07369639;
1073,473;0,09486457;0,07755218;
1075,337;0,09892645;0,0816459;
1077,201;0,1030812;0,08583232;
1079,064;0,1072361;0,09001874;
1080,928;0,1114908;0,09430476;
1082,792;0,1157192;0,0985644;
