;Jun30_TPC_1-0-0_LMW_salt;Jun30_TPC_1-0-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,06772059;0,01181235;
652,284;0,06895326;0,01340452;
654,148;0,06955808;0,01436476;
656,011;0,06966874;0,01482682;
657,875;0,07001087;0,01551638;
659,739;0,07049357;0,01634259;
661,602;0,07215945;0,01834811;
663,466;0,07566004;0,02218455;
665,330;0,07921324;0,02606984;
667,193;0,08420118;0,03138618;
669,057;0,08904101;0,03655075;
670,921;0,08511713;0,03294801;
672,784;0,07720213;0,02535061;
674,648;0,06892641;0,01738899;
676,512;0,06268723;0,01146045;
678,375;0,05807655;0,007157016;
680,239;0,05458134;0,003965694;
682,103;0,05240422;0,002089138;
683,966;0,05084769;0,0008299169;
685,830;0,0496727;-5,099427E-5;
687,694;0,04886965;-0,0005631385;
689,557;0,04810176;-0,001043267;
691,421;0,04727211;-0,001588246;
693,285;0,04697454;-0,00160419;
695,149;0,04649599;-0,001804134;
697,012;0,04594132;-0,00208317;
698,876;0,0458789;-0,001872891;
700,740;0,0455246;-0,00195738;
702,603;0,04473426;-0,002480762;
704,467;0,04431452;-0,002636365;
706,331;0,04433635;-0,00235318;
708,194;0,04420075;-0,00223017;
710,058;0,04385385;-0,002321165;
711,922;0,04402942;-0,001892364;
713,785;0,04469223;-0,0009789604;
715,649;0,04485636;-0,0005668403;
717,513;0,04388877;-0,001289002;
719,376;0,04293233;-0,002002564;
721,240;0,04262703;-0,002067486;
723,104;0,04261825;-0,001838351;
724,967;0,04259486;-0,00162627;
726,831;0,04249579;-0,001492289;
728,695;0,04212653;-0,00163086;
730,558;0,04199988;-0,001529183;
732,422;0,04202875;-0,001274294;
734,286;0,04169993;-0,001379389;
736,149;0,04156898;-0,001288872;
738,013;0,04156441;-0,001074203;
739,877;0,04156548;-0,0008560995;
741,740;0,04139151;-0,0008152149;
743,604;0,04113415;-0,0008598642;
745,468;0,04090478;-0,0008786565;
747,331;0,04078556;-0,0007893809;
749,195;0,04068891;-0,0006796094;
751,059;0,04057518;-0,0005889582;
752,922;0,04038886;-0,0005729269;
754,786;0,04007901;-0,0006824075;
756,650;0,03999304;-0,0005699784;
758,513;0,0402545;-0,0001120735;
760,377;0,04038531;0,0002132694;
762,241;0,0400965;0,0001170939;
764,104;0,03966946;-0,0001191945;
765,968;0,03957949;-2,025478E-5;
767,832;0,03948659;7,391474E-5;
769,695;0,03943066;0,0002032614;
771,559;0,03958623;0,0005423104;
773,423;0,03942315;0,0005609451;
775,286;0,03926039;0,0005781636;
777,150;0,03916479;0,0006608204;
779,014;0,0390683;0,0007408792;
780,877;0,0390197;0,0008671444;
782,741;0,03905537;0,001076022;
784,605;0,03910778;0,001300004;
786,468;0,03917347;0,001535639;
788,332;0,03937635;0,001906853;
790,196;0,0395174;0,002214667;
792,059;0,03945861;0,002321064;
793,923;0,03962932;0,002655422;
795,787;0,03992366;0,003111868;
797,650;0,03992021;0,00326902;
799,514;0,04003214;0,003540067;
801,378;0,04050543;0,004170987;
803,241;0,04104518;0,004866909;
805,105;0,04183638;0,005812837;
806,969;0,04349778;0,007627541;
808,832;0,04637698;0,01065864;
810,696;0,0491335;0,01356565;
812,560;0,05052095;0,01510223;
814,423;0,05439646;0,01912549;
816,287;0,06404044;0,0289159;
818,151;0,08275783;0,04777837;
820,014;0,1202409;0,0854052;
821,878;0,1845474;0,1498541;
823,742;0,2391263;0,2045742;
825,605;0,2078926;0,1734804;
827,469;0,126721;0,09244751;
829,333;0,07360496;0,03946887;
831,196;0,05468741;0,02068751;
833,060;0,04868482;0,01481987;
834,924;0,04376652;0,01003533;
836,787;0,03985932;0,006260703;
838,651;0,03803269;0,004565463;
840,515;0,03724908;0,003912088;
842,378;0,03679023;0,003582319;
844,242;0,03624485;0,003164884;
846,106;0,0357438;0,002790655;
847,969;0,0357127;0,002885261;
849,833;0,03567809;0,002975262;
851,697;0,03563781;0,003058499;
853,560;0,03560802;0,003151149;
855,424;0,03550409;0,003168605;
857,288;0,03546381;0,003248644;
859,151;0,0354882;0,003392317;
861,015;0,03547602;0,003498391;
862,879;0,03565789;0,003797494;
864,742;0,03566512;0,00392095;
866,606;0,03544797;0,003819028;
868,470;0,03540978;0,003895076;
870,333;0,03567858;0,004277137;
872,197;0,0358587;0,004569554;
874,061;0,03587114;0,004693336;
875,924;0,03580933;0,004741924;
877,788;0,03590468;0,004946736;
879,652;0,03580766;0,004958246;
881,515;0,03583359;0,005091792;
883,379;0,03604525;0,005410173;
885,243;0,03629154;0,005762271;
887,106;0,03637166;0,005947327;
888,970;0,03623095;0,00591066;
890,834;0,03653166;0,006314557;
892,697;0,03677936;0,006664581;
894,561;0,0367777;0,006764394;
896,425;0,03699643;0,007083744;
898,288;0,03719945;0,007386565;
900,152;0,03747176;0,007757846;
902,016;0,03789307;0,008277313;
903,879;0,03813389;0,008615479;
905,743;0,03812428;0,008702413;
907,607;0,03823004;0,008903924;
909,470;0,03832188;0,009090736;
911,334;0,03859881;0,00946187;
913,198;0,03893868;0,009895167;
915,061;0,03913358;0,01018274;
916,925;0,03926228;0,01040336;
918,789;0,03934971;0,01058196;
920,652;0,03966032;0,010983;
922,516;0,04006701;0,0114794;
924,380;0,04038296;0,01188434;
926,243;0,04070637;0,01229602;
928,107;0,04090494;0,01258216;
929,971;0,0411401;0,01290418;
931,834;0,04158979;0,01344003;
933,698;0,04205166;0,01398739;
935,562;0,04245368;0,01447421;
937,425;0,04271265;0,01481732;
939,289;0,04291713;0,01510526;
941,153;0,04333424;0,01560518;
943,016;0,04366265;0,01601573;
944,880;0,04409581;0,01653039;
946,744;0,04454113;0,01705658;
948,607;0,04479925;0,01739493;
950,471;0,04510108;0,01777636;
952,335;0,04558303;0,01833728;
954,198;0,04603388;0,01886651;
956,062;0,04632695;0,01923733;
957,926;0,04664426;0,01963179;
959,789;0,04721389;0,02027797;
961,653;0,04763204;0,02077207;
963,517;0,04818658;0,02140199;
965,380;0,0487656;0,0220558;
967,244;0,04927993;0,02264435;
969,108;0,04974748;0,02318554;
970,972;0,05029002;0,02380117;
972,835;0,05100789;0,02459156;
974,699;0,05174331;0,02539895;
976,563;0,05246864;0,0261957;
978,426;0,05335912;0,02715706;
980,290;0,05417615;0,02804443;
982,154;0,05493504;0,02887313;
984,017;0,05567507;0,02968244;
985,881;0,05644713;0,03052325;
987,745;0,05726144;0,03140581;
989,608;0,05807032;0,03228241;
991,472;0,05891129;0,0331906;
993,336;0,05965947;0,03400549;
995,199;0,06039438;0,03480662;
997,063;0,06119902;0,03567698;
998,927;0,06197554;0,03651873;
1000,790;0,06272273;0,03733067;
1002,654;0,06332616;0,03799836;
1004,518;0,06387083;0,03860682;
1006,381;0,06432858;0,03912789;
1008,245;0,06484861;0,03971077;
1010,109;0,06523916;0,04016371;
1011,972;0,06550586;0,04049234;
1013,836;0,0658726;0,04092056;
1015,700;0,06616543;0,04127441;
1017,563;0,06640484;0,0415744;
1019,427;0,0668493;0,04207899;
1021,291;0,06753097;0,04282036;
1023,154;0,0684177;0,04376635;
1025,018;0,0693828;0,04479028;
1026,882;0,0703467;0,04581259;
1028,745;0,07138952;0,0469134;
1030,609;0,07254427;0,04812571;
1032,473;0,07366044;0,04929903;
1034,336;0,07504903;0,05074436;
1036,200;0,07651779;0,05226946;
1038,064;0,07790612;0,05371372;
1039,927;0,07940799;0,05527112;
1041,791;0,08130266;0,05722092;
1043,655;0,0834896;0,0594626;
1045,518;0,08586281;0,06189015;
1047,382;0,08887983;0,06496114;
1049,246;0,09202822;0,06816311;
1051,109;0,0928861;0,06907419;
1052,973;0,09313825;0,06937917;
1054,837;0,09496035;0,07125372;
1056,700;0,09746725;0,07381271;
1058,564;0,1003819;0,0767791;
1060,428;0,1036665;0,08011498;
1062,291;0,1071315;0,08363099;
1064,155;0,1108337;0,08738384;
1066,019;0,114958;0,09155841;
1067,882;0,1191704;0,09582076;
1069,746;0,1234121;0,100112;
1071,610;0,1280126;0,1047618;
1073,473;0,1329404;0,1097385;
1075,337;0,1381439;0,1149905;
1077,201;0,1435427;0,1204375;
1079,064;0,1490923;0,1260351;
1080,928;0,1542613;0,1312516;
1082,792;0,1587692;0,1358068;
1084,655;0,1620835;0,139168;
1086,519;0,1640197;0,1411508;
1088,383;0,1650922;0,1422696;
1090,246;0,1658963;0,1431197;
1092,110;0,1669089;0,1441778;
1093,974;0,168068;0,1453823;
1095,837;0,1689767;0,146336;
1097,701;0,1695707;0,1469748;
1099,565;0,1693117;0,1467601;
1101,428;0,1686343;0,1461268;
1103,292;0,1680347;0,1455711;
1105,156;0,1674775;0,1450574;
1107,019;0,1669431;0,1445662;
1108,883;0,1665014;0,1441675;
1110,747;0,1658558;0,1435646;
1112,610;0,1651643;0,1429154;
1114,474;0,1645371;0,1423304;
1116,338;0,1643438;0,1421788;
1118,201;0,1643104;0,142187;
1120,065;0,1642237;0,1421415;
1121,929;0,1642953;0,1422541;
1123,792;0,1646134;0,1426129;
1125,656;0,1648664;0,1429063;
1127,520;0,1652739;0,143354;
1129,383;0,1655352;0,1436552;
1131,247;0,1655634;0,143723;
1133,111;0,1657132;0,1439123;
1134,974;0,1660077;0,1442459;
1136,838;0,1662752;0,1445522;
1138,702;0,1669099;0,1452256;
1140,565;0,1679342;0,1462882;
1142,429;0,1692251;0,1476172;
1144,293;0,1705719;0,1490018;
1146,156;0,1721621;0,1506297;
1148,020;0,1736229;0,1521278;
1149,884;0,1742759;0,152818;
1151,747;0,1735403;0,1521193;
1153,611;0,1713182;0,1499338;
1155,475;0,1678712;0,1465233;
1157,338;0,1640657;0,142754;
1159,202;0,1605152;0,1392394;
1161,066;0,1570669;0,1358269;
1162,929;0,1536337;0,1324291;
1164,793;0,1505618;0,1293925;
1166,657;0,1477543;0,12662;
1168,520;0,1452388;0,1241393;
1170,384;0,1427601;0,1216952;
1172,248;0,1404052;0,1193747;
1174,111;0,1382987;0,1173024;
1175,975;0,1365884;0,115626;
1177,839;0,1349697;0,1140411;
1179,702;0,1335451;0,1126499;
1181,566;0,1325049;0,111643;
1183,430;0,1315995;0,1107708;
1185,293;0,1307561;0,1099602;
1187,157;0,1300708;0,1093077;
1189,021;0,1294219;0,1086912;
1190,884;0,1288675;0,1081691;
1192,748;0,1284006;0,1077343;
1194,612;0,1280776;0,1074432;
1196,475;0,1276763;0,1070736;
1198,339;0,1271728;0,1066015;
1200,203;0,1264653;0,1059253;
1202,066;0,1253281;0,1048192;
1203,930;0,1236372;0,1031591;
1205,794;0,121444;0,1009967;
1207,657;0,1184996;0,09808276;
1209,521;0,1150461;0,09465965;
1211,385;0,1114346;0,09107827;
1213,248;0,108202;0,08787563;
1215,112;0,1054039;0,0851073;
1216,976;0,1031144;0,08284735;
1218,839;0,1011691;0,08093146;
1220,703;0,09968091;0,07947253;
1222,567;0,09848211;0,07830278;
1224,430;0,09746111;0,07731067;
1226,294;0,09667284;0,0765511;
1228,158;0,09586873;0,07577551;
1230,021;0,09511848;0,07505362;
1231,885;0,0947518;0,07471513;
1233,749;0,09465054;0,07464188;
1235,612;0,09474192;0,0747611;
1237,476;0,09507904;0,0751259;
1239,340;0,09562522;0,07569959;
1241,203;0,09642587;0,07652759;
1243,067;0,09742994;0,07755884;
1244,931;0,09848834;0,07864427;
1246,795;0,09988326;0,08006604;
1248,658;0,1013573;0,08156682;
1250,522;0,1029347;0,0831707;
1252,386;0,104647;0,08490941;
1254,249;0,1063952;0,08668382;
1256,113;0,1081807;0,08849537;
1257,977;0,1102665;0,09060709;
1259,840;0,1126697;0,09303603;
1261,704;0,11504;0,09543203;
1263,568;0,117314;0,09773142;
1265,431;0,11988;0,1003228;
1267,295;0,1225429;0,1030109;
1269,159;0,1253905;0,1058834;
1271,022;0,1283601;0,1088779;
1272,886;0,1313685;0,111911;
1274,750;0,1343758;0,1149429;
1276,613;0,1374191;0,1180106;
1278,477;0,1406278;0,1212436;
1280,341;0,144083;0,124723;
1282,204;0,1476708;0,1283348;
1284,068;0,1513301;0,1320179;
1285,932;0,1550222;0,1357338;
1287,795;0,1591001;0,1398352;
1289,659;0,1631601;0,1439187;
1291,523;0,1672168;0,1479987;
1293,386;0,1713386;0,1521438;
1295,250;0,1757201;0,1565483;
1297,114;0,1803314;0,1611826;
1298,977;0,1848774;0,1657514;
1300,841;0,1896116;0,1705082;
1302,705;0,194749;0,1756682;
1304,568;0,1998047;0,1807462;
1306,432;0,2050258;0,1859896;
1308,296;0,2105279;0,1915139;
1310,159;0,216;0,197008;
1312,023;0,2219117;0,2029416;
1313,887;0,2286368;0,2096884;
1315,750;0,2348584;0,2159317;
1317,614;0,2416136;0,2227085;
1319,478;0,2493978;0,2305141;
1321,341;0,2568271;0,2379647;
1323,205;0,2638958;0,2450546;
1325,069;0,2715567;0,2527364;
1326,932;0,279336;0,2605367;
1328,796;0,2872596;0,2684811;
1330,660;0,2950471;0,2762893;
1332,523;0,3030118;0,2842746;
1334,387;0,3099873;0,2912706;
1336,251;0,3168627;0,2981663;
1338,114;0,326104;0,3074278;
1339,978;0,3382075;0,3195514;
1341,842;0,3475715;0,3289355;
1343,705;0,3547077;0,3360916;
1345,569;0,3632921;0,3446958;
1347,433;0,3720872;0,3535106;
1349,296;0,3807606;0,3622036;
1351,160;0,3891667;0,3706291;
1353,024;0,3967217;0,3782034;
1354,887;0,4044767;0,3859777;
1356,751;0,4119756;0,3934958;
1358,615;0,4188664;0,4004057;
1360,478;0,4271336;0,4086918;
1362,342;0,4401821;0,4217591;
1364,206;0,4530788;0,4346746;
1366,069;0,4594017;0,4410161;
1367,933;0,4663421;0,4479751;
1369,797;0,4734321;0,4550834;
1371,660;0,4744717;0,4561414;
1373,524;0,4695017;0,4511896;
1375,388;0,4571053;0,4388114;
1377,251;0,4337263;0,4154504;
1379,115;0,4057262;0,3874682;
1380,979;0,3786691;0,360429;
1382,842;0,3534519;0,3352295;
1384,706;0,330579;0,3123743;
1386,570;0,3091329;0,2909457;
1388,433;0,2909669;0,2727972;
1390,297;0,276144;0,2579916;
1392,161;0,2624377;0,2443026;
1394,024;0,2497215;0,2316036;
1395,888;0,2388866;0,2207857;
1397,752;0,2295708;0,211487;
1399,615;0,2208946;0,2028276;
1401,479;0,2127502;0,1947;
1403,343;0,2044393;0,1864059;
1405,206;0,196625;0,1786083;
1407,070;0,1891729;0,1711727;
1408,934;0,1815793;0,1635956;
1410,797;0,1741932;0,1562259;
1412,661;0,1672014;0,1492503;
1414,525;0,1599025;0,1419677;
1416,388;0,1523293;0,1344106;
1418,252;0,1445825;0,1266798;
1420,116;0,1375224;0,1196356;
1421,979;0,130939;0,1130681;
1423,843;0,1235585;0,1057035;
1425,707;0,1165899;0,09875047;
1427,570;0,1113581;0,09353438;
1429,434;0,1105256;0,09271737;
1431,298;0,1131378;0,09534503;
1433,161;0,1099851;0,09220775;
1435,025;0,1001573;0,08239522;
1436,889;0,08856103;0,07081416;
1438,752;0,0805667;0,06283497;
1440,616;0,07374897;0,05603231;
1442,480;0,06651176;0,04881007;
1444,343;0,05931462;0,04162785;
1446,207;0,05225312;0,03458118;
1448,071;0,0451526;0,02749541;
1449,934;0,03912639;0,02148388;
1451,798;0,03418627;0,01655836;
1453,662;0,03054498;0,0129316;
1455,525;0,02798767;0,01038875;
1457,389;0,02608753;0,008502993;
1459,253;0,02527665;0,007706412;
1461,116;0,02460635;0,007050347;
1462,980;0,0238648;0,006322967;
1464,844;0,02347613;0,005948381;
1466,707;0,02312605;0,005612323;
1468,571;0,02243043;0,004930645;
1470,435;0,02162082;0,004134916;
1472,298;0,02121084;0,003738741;
1474,162;0,02105466;0,003596302;
1476,026;0,02052323;0,003078537;
1477,889;0,02005845;0,002627357;
1479,753;0,01966638;0,002248811;
1481,617;0,01941225;0,00200815;
1483,480;0,01912265;0,001731941;
1485,344;0,0186535;0,001276119;
1487,208;0,01831183;0,0009477144;
1489,071;0,01799603;0,0006451009;
1490,935;0,01769972;0,000361926;
1492,799;0,017234;-9,072919E-5;
1494,662;0,01668488;-0,0006268501;
1496,526;0,01641798;-0,000880822;
1498,390;0,01634414;-0,000941792;
1500,253;0,01606454;-0,001208586;
1502,117;0,01555012;-0,001710269;
1503,981;0,0147013;-0,002546402;
1505,844;0,01398903;-0,003246059;
1507,708;0,01406204;-0,003160501;
1509,572;0,01375611;-0,003453937;
1511,435;0,01325994;-0,003937677;
1513,299;0,01274789;-0,004437358;
1515,163;0,01210574;-0,0050672;
1517,026;0,01177136;-0,005389329;
1518,890;0,01122455;-0,005923947;
1520,754;0,01048877;-0,006647602;
1522,618;0,01047526;-0,006649043;
1524,481;0,0101021;-0,007010192;
1526,345;0,009840802;-0,00725954;
1528,209;0,009911303;-0,007177146;
1530,072;0,009504852;-0,007571762;
1531,936;0,009036121;-0,008028714;
1533,800;0,009103191;-0,007949924;
1535,663;0,009020286;-0,008021165;
1537,527;0,008367225;-0,008662619;
1539,391;0,007769721;-0,009248572;
1541,254;0,007684398;-0,009322399;
1543,118;0,007913073;-0,009082284;
1544,982;0,008003378;-0,008980594;
1546,845;0,008031145;-0,008941498;
1548,709;0,007802897;-0,00915847;
1550,573;0,007965215;-0,008984931;
1552,436;0,008083989;-0,008854989;
1554,300;0,008106676;-0,008821188;
1556,164;0,007744958;-0,009171845;
1558,027;0,006899933;-0,01000586;
1559,891;0,00744033;-0,009454509;
1561,755;0,00766571;-0,009218227;
1563,618;0,007530802;-0,009342283;
1565,482;0,007742663;-0,009119622;
1567,346;0,007777302;-0,009074235;
1569,209;0,007813678;-0,009027161;
1571,073;0,008089839;-0,008740354;
1572,937;0,007951039;-0,008868558;
1574,800;0,007654709;-0,009154341;
1576,664;0,007902605;-0,008895949;
1578,528;0,008264972;-0,008523135;
1580,391;0,008351528;-0,008426181;
1582,255;0,008475165;-0,008292195;
1584,119;0,008577206;-0,008179854;
1585,982;0,008679291;-0,008067518;
1587,846;0,008868108;-0,007868497;
1589,710;0,00898726;-0,007739189;
1591,573;0,009147466;-0,007568875;
1593,437;0,009349079;-0,007357201;
1595,301;0,009691988;-0,007004278;
1597,164;0,0100033;-0,006682996;
1599,028;0,0102471;-0,00642928;
1600,892;0,01060235;-0,006064149;
1602,755;0,01105631;-0,005600362;
1604,619;0,01139893;-0,005247956;
1606,483;0,0118282;-0,004808951;
1608,346;0,01233858;-0,004288877;
