;May26_TPC_08-0-02_LMW_salt;May26_TPC_08-0-02_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,06311322;0,01427083;
652,284;0,06360752;0,01509746;
654,148;0,06430026;0,01611875;
656,011;0,06449863;0,01664196;
657,875;0,06373283;0,01619732;
659,739;0,06234921;0,01513124;
661,602;0,06196408;0,01506008;
663,466;0,06251317;0,01591963;
665,330;0,06276381;0,01647726;
667,193;0,06329838;0,0173154;
669,057;0,06273653;0,01705375;
670,921;0,05910062;0,01371471;
672,784;0,05541571;0,01032339;
674,648;0,05264879;0,007846814;
676,512;0,05038763;0,005872826;
678,375;0,04848887;0,004258075;
680,239;0,04721024;0,00326036;
682,103;0,046209;0,00253697;
683,966;0,04533789;0,00194069;
685,830;0,04469956;0,001574211;
687,694;0,04434314;0,001486699;
689,557;0,04382304;0,001232618;
691,421;0,04363469;0,001307416;
693,285;0,04373938;0,001672441;
695,149;0,04341562;0,001606221;
697,012;0,04309583;0,001541229;
698,876;0,04290049;0,001597981;
700,740;0,04249511;0,001442012;
702,603;0,04215391;0,001347585;
704,467;0,04218862;0,001626469;
706,331;0,0423477;0,002027143;
708,194;0,04237574;0,002294246;
710,058;0,04249598;0,002651051;
711,922;0,04259254;0,002981697;
713,785;0,04299719;0,003618005;
715,649;0,04308464;0,003934693;
717,513;0,04229233;0,003369258;
719,376;0,0416948;0,002996248;
721,240;0,04143603;0,002959682;
723,104;0,04135998;0,003103562;
724,967;0,04127018;0,003231429;
726,831;0,04094601;0,003122704;
728,695;0,04091403;0,003303966;
730,558;0,04096855;0,003569563;
732,422;0,04082126;0,0036312;
734,286;0,04066699;0,003683737;
736,149;0,04067224;0,003893715;
738,013;0,04058639;0,004010529;
739,877;0,04033557;0,003960341;
741,740;0,04019173;0,004015109;
743,604;0,0400316;0,004051608;
745,468;0,03996457;0,00417925;
747,331;0,04022421;0,004631612;
749,195;0,04018653;0,004784757;
751,059;0,03985255;0,004639696;
752,922;0,03959874;0,004572951;
754,786;0,03977081;0,004930244;
756,650;0,03989057;0,0052334;
758,513;0,03975532;0,005279753;
760,377;0,03947608;0,005180336;
762,241;0,03943412;0,005316449;
764,104;0,03941954;0,005478204;
765,968;0,0393899;0,005623192;
767,832;0,03918008;0,005586299;
769,695;0,03901933;0,005596811;
771,559;0,03927954;0,006026637;
773,423;0,03929358;0,00620866;
775,286;0,03896619;0,006047643;
777,150;0,03903405;0,006280282;
779,014;0,03906104;0,00647047;
780,877;0,03903218;0,006603263;
782,741;0,03908137;0,006812568;
784,605;0,0391613;0,007051098;
786,468;0,0391498;0,007196694;
788,332;0,03907857;0,007281076;
790,196;0,03916313;0,007519785;
792,059;0,03938798;0,007897339;
793,923;0,03951351;0,008174147;
795,787;0,03982195;0,008632441;
797,650;0,04024774;0,009206697;
799,514;0,04050355;0,009609592;
801,378;0,04049918;0,009750934;
803,241;0,04080889;0,010205;
805,105;0,04140658;0,01094574;
806,969;0,04262162;0,01230248;
808,832;0,04465044;0,01447172;
810,696;0,04648575;0,01644615;
812,560;0,04755068;0,01764893;
814,423;0,05048482;0,02071966;
816,287;0,05687194;0,02724213;
818,151;0,0695411;0,04004541;
820,014;0,09453201;0,06516921;
821,878;0,1363932;0,1071621;
823,742;0,1730245;0,1439239;
825,605;0,1576883;0,128717;
827,469;0,1039094;0,07506627;
829,333;0,0641571;0,03544103;
831,196;0,04853948;0,01994929;
833,060;0,04360287;0,01513744;
834,924;0,04096869;0,01262691;
836,787;0,0389794;0,01076017;
838,651;0,03773708;0,009639316;
840,515;0,03700539;0,009028013;
842,378;0,03671432;0,008856265;
844,242;0,03680537;0,009065588;
846,106;0,03699231;0,009369763;
847,969;0,03711404;0,009607696;
849,833;0,03709944;0,009708282;
851,697;0,0373073;0,01003033;
853,560;0,03751916;0,01035537;
855,424;0,03752151;0,01046993;
857,288;0,03767794;0,01073758;
859,151;0,03795494;0,01112485;
861,015;0,03796785;0,01124707;
862,879;0,0377971;0,0111847;
864,742;0,03745778;0,01095281;
866,606;0,03713189;0,01073343;
868,470;0,03689729;0,01060444;
870,333;0,03664955;0,0104614;
872,197;0,03636789;0,01028355;
874,061;0,0360655;0,01008409;
875,924;0,03575865;0,009879287;
877,788;0,03556138;0,009783201;
879,652;0,03541428;0,009736427;
881,515;0,03513698;0,009558616;
883,379;0,0348896;0,009409877;
885,243;0,03485961;0,00947771;
887,106;0,03499851;0,009713604;
888,970;0,03507841;0,009889686;
890,834;0,03485186;0,00975852;
892,697;0,03491209;0,009913344;
894,561;0,03499994;0,01009499;
896,425;0,03509733;0,0102854;
898,288;0,03516024;0,01044056;
900,152;0,03515237;0,01052418;
902,016;0,03525774;0,01072029;
903,879;0,03560624;0,01115878;
905,743;0,03573139;0,01137318;
907,607;0,03561061;0,01134091;
909,470;0,03565929;0,01147738;
911,334;0,03582101;0,01172618;
913,198;0,03589042;0,01188195;
915,061;0,03604169;0,01211889;
916,925;0,03628007;0,01244225;
918,789;0,03653616;0,01278262;
920,652;0,03664319;0,01297325;
922,516;0,0367887;0,01320169;
924,380;0,03702301;0,01351825;
926,243;0,03726037;0,01383721;
928,107;0,0373762;0,01403398;
929,971;0,03754606;0,01428414;
931,834;0,03773228;0,01455001;
933,698;0,03784885;0,01474561;
935,562;0,03801704;0,01499219;
937,425;0,0383874;0,01544032;
939,289;0,03862956;0,01575964;
941,153;0,03885038;0,01605699;
943,016;0,03906361;0,01634617;
944,880;0,03939242;0,01675032;
946,744;0,03971464;0,0171473;
948,607;0,039883;0,01738981;
950,471;0,04008039;0,0176608;
952,335;0,04035991;0,01801332;
954,198;0,04055794;0,01828379;
956,062;0,04071893;0,01851666;
957,926;0,04099573;0,01886477;
959,789;0,04144674;0,01938654;
961,653;0,04168828;0,01969831;
963,517;0,04204137;0,02012107;
965,380;0,04241781;0,02056665;
967,244;0,04294493;0,02116238;
969,108;0,04343932;0,02172485;
970,972;0,04386062;0,0222137;
972,835;0,0443039;0,02272403;
974,699;0,04471158;0,02319823;
976,563;0,04518145;0,02373413;
978,426;0,04587937;0,02449756;
980,290;0,04665204;0,02533525;
982,154;0,04718488;0,02593263;
984,017;0,04780369;0,02661549;
985,881;0,04859386;0,02746921;
987,745;0,04920278;0,02814121;
989,608;0,04969894;0,02869997;
991,472;0,05034552;0,02940869;
993,336;0,05099816;0,030123;
995,199;0,0516329;0,03081895;
997,063;0,05222551;0,03147232;
998,927;0,05268072;0,03198783;
1000,790;0,05320448;0,03257144;
1002,654;0,05377408;0,03320045;
1004,518;0,05402252;0,03350785;
1006,381;0,05392668;0,03347055;
1008,245;0,05379783;0,0333998;
1010,109;0,05371823;0,03337787;
1011,972;0,05391316;0,03363005;
1013,836;0,05415952;0,03393324;
1015,700;0,05428929;0,03411941;
1017,563;0,05446929;0,03435542;
1019,427;0,05478386;0,03472557;
1021,291;0,05542329;0,03542019;
1023,154;0,0562306;0,03628228;
1025,018;0,05691777;0,03702384;
1026,882;0,05749907;0,03765913;
1028,745;0,0581605;0,03837417;
1030,609;0,05901887;0,03928574;
1032,473;0,05990003;0,04021974;
1034,336;0,0610268;0,04139896;
1036,200;0,06221309;0,04263733;
1038,064;0,06357272;0,04404865;
1039,927;0,06511468;0,04564195;
1041,791;0,06677933;0,04735756;
1043,655;0,06867494;0,04930377;
1045,518;0,07104349;0,05172256;
1047,382;0,07392542;0,05465437;
1049,246;0,07696442;0,0577429;
1051,109;0,0782607;0,05908836;
1052,973;0,07882497;0,05970147;
1054,837;0,08078273;0,06170772;
1056,700;0,08338975;0,06436288;
1058,564;0,08627643;0,06729736;
1060,428;0,08944033;0,07050874;
1062,291;0,09263946;0,07375501;
1064,155;0,09596875;0,07713111;
1066,019;0,09964088;0,08084972;
1067,882;0,1034851;0,08474008;
1069,746;0,1074931;0,08879389;
1071,610;0,1118225;0,09316882;
1073,473;0,1160595;0,09745104;
1075,337;0,120086;0,1015224;
1077,201;0,1242954;0,1057765;
1079,064;0,128634;0,1101593;
1080,928;0,1328148;0,1143841;
1082,792;0,1366725;0,1182854;
1084,655;0,1402959;0,1219522;
1086,519;0,1439654;0,1256647;
1088,383;0,1474954;0,1292375;
1090,246;0,1506851;0,1324697;
1092,110;0,1536628;0,1354896;
1093,974;0,1565384;0,1384072;
1095,837;0,1591268;0,1410372;
1097,701;0,1615109;0,1434626;
1099,565;0,1637199;0,1457126;
1101,428;0,1658581;0,1478916;
1103,292;0,1677301;0,1498041;
1105,156;0,1696317;0,151746;
1107,019;0,1715624;0,1537166;
1108,883;0,1731958;0,1553898;
1110,747;0,1743619;0,1565953;
1112,610;0,1754375;0,1577101;
1114,474;0,176417;0,1587284;
1116,338;0,1771292;0,1594793;
1118,201;0,1775243;0,1599128;
1120,065;0,1777667;0,1601933;
1121,929;0,1776761;0,1601406;
1123,792;0,1772494;0,1597515;
1125,656;0,176263;0,1588025;
1127,520;0,1749416;0,1575182;
1129,383;0,1736724;0,156286;
1131,247;0,1726457;0,1552959;
1133,111;0,1717815;0,1544681;
1134,974;0,1709027;0,1536254;
1136,838;0,1697542;0,1525129;
1138,702;0,1684773;0,1512716;
1140,565;0,1669094;0,1497392;
1142,429;0,1649789;0,147844;
1144,293;0,1627843;0,1456843;
1146,156;0,1603896;0,1433244;
1148,020;0,1580562;0,1410256;
1149,884;0,1558934;0,1388971;
1151,747;0,1535936;0,1366314;
1153,611;0,1513476;0,1344194;
1155,475;0,1490284;0,1321338;
1157,338;0,1465916;0,1297305;
1159,202;0,1443104;0,1274825;
1161,066;0,1420891;0,1252942;
1162,929;0,1397408;0,1229787;
1164,793;0,1374153;0,1206858;
1166,657;0,1350244;0,1183273;
1168,520;0,1325344;0,1158695;
1170,384;0,1299807;0,1133477;
1172,248;0,1276632;0,111062;
1174,111;0,1252379;0,1086684;
1175,975;0,1227298;0,1061916;
1177,839;0,1201823;0,1036753;
1179,702;0,1178299;0,1013539;
1181,566;0,1155588;0,0991135;
1183,430;0,1133394;0,09692473;
1185,293;0,1111618;0,0947775;
1187,157;0,1091524;0,09279838;
1189,021;0,1073012;0,09097721;
1190,884;0,1055186;0,08922444;
1192,748;0,103667;0,08740248;
1194,612;0,1017752;0,08554015;
1196,475;0,09976171;0,08355591;
1198,339;0,09798431;0,08180761;
1200,203;0,09621252;0,08006473;
1202,066;0,0941986;0,07807955;
1203,930;0,09216667;0,07607619;
1205,794;0,09039675;0,07433465;
1207,657;0,08865653;0,07262264;
1209,521;0,08699073;0,07098488;
1211,385;0,08549622;0,06951823;
1213,248;0,08415728;0,06820699;
1215,112;0,08290413;0,06698135;
1216,976;0,08180868;0,06591326;
1218,839;0,08084376;0,06497553;
1220,703;0,07991535;0,06407414;
1222,567;0,07906202;0,06324767;
1224,430;0,07838802;0,06260036;
1226,294;0,07782248;0,06206135;
1228,158;0,07742727;0,06169252;
1230,021;0,07717872;0,06147018;
1231,885;0,07712158;0,06143909;
1233,749;0,0771941;0,06153751;
1235,612;0,07735482;0,06172397;
1237,476;0,07752796;0,06192269;
1239,340;0,07795851;0,06237867;
1241,203;0,07853218;0,06297762;
1243,067;0,07921779;0,06368836;
1244,931;0,08000848;0,06450403;
1246,795;0,08074716;0,06526754;
1248,658;0,08162403;0,06616909;
1250,522;0,08287652;0,06744611;
1252,386;0,08409483;0,06868881;
1254,249;0,08522376;0,06984199;
1256,113;0,08645375;0,07109608;
1257,977;0,08773938;0,07240566;
1259,840;0,08921078;0,07390087;
1261,704;0,09071587;0,07542964;
1263,568;0,09212379;0,07686109;
1265,431;0,09364914;0,07840984;
1267,295;0,0953168;0,08010077;
1269,159;0,09711505;0,08192213;
1271,022;0,09896911;0,08379918;
1272,886;0,100779;0,08563196;
1274,750;0,1024888;0,08736442;
1276,613;0,1043343;0,08923251;
1278,477;0,1062532;0,09117394;
1280,341;0,1083836;0,09332657;
1282,204;0,1104174;0,09538261;
1284,068;0,1124746;0,09746185;
1285,932;0,1146;0,09960922;
1287,795;0,1169028;0,1019338;
1289,659;0,1193314;0,1043841;
1291,523;0,1216771;0,1067514;
1293,386;0,1240048;0,1091006;
1295,250;0,1264811;0,1115981;
1297,114;0,1291433;0,1142815;
1298,977;0,1318103;0,1169696;
1300,841;0,1344172;0,1195974;
1302,705;0,1371109;0,1223119;
1304,568;0,1399862;0,125208;
1306,432;0,1430584;0,1283008;
1308,296;0,1461599;0,1314228;
1310,159;0,149313;0,1345962;
1312,023;0,1528382;0,1381417;
1313,887;0,1566501;0,1419737;
1315,750;0,1600625;0,1454061;
1317,614;0,1639785;0,149342;
1319,478;0,1685711;0,1539544;
1321,341;0,1730062;0,1584091;
1323,205;0,1772427;0,1626652;
1325,069;0,1818581;0,1673001;
1326,932;0,1868187;0,17228;
1328,796;0,1918863;0,1773669;
1330,660;0,1968063;0,1823061;
1332,523;0,2017231;0,1872418;
1334,387;0,2061784;0,1917161;
1336,251;0,2110903;0,1966468;
1338,114;0,2175434;0,2031186;
1339,978;0,2254787;0,2110725;
1341,842;0,2317349;0,2173472;
1343,705;0,2367986;0,2224293;
1345,569;0,2427843;0,2284333;
1347,433;0,2492552;0,2349224;
1349,296;0,2558279;0,2415132;
1351,160;0,2619991;0,2477024;
1353,024;0,2675574;0,2532786;
1354,887;0,2732608;0,2589998;
1356,751;0,2788448;0,2646015;
1358,615;0,2843105;0,2700848;
1360,478;0,290297;0,2760888;
1362,342;0,2989649;0,2847741;
1364,206;0,3078955;0,2937221;
1366,069;0,3130998;0,2989435;
1367,933;0,3194167;0,3052776;
1369,797;0,3268205;0,3126984;
1371,660;0,3314875;0,3173824;
1373,524;0,3340518;0,3199635;
1375,388;0,3321506;0,3180791;
1377,251;0,3225244;0,3084696;
1379,115;0,3090818;0,2950435;
1380,979;0,2948363;0,2808145;
1382,842;0,280768;0,2667626;
1384,706;0,2668728;0,2528838;
1386,570;0,2532083;0,2392355;
1388,433;0,2411095;0,2271528;
1390,297;0,2309206;0,2169799;
1392,161;0,2212865;0,2073618;
1394,024;0,2120972;0,1981884;
1395,888;0,2039292;0,1900362;
1397,752;0,1962129;0,1823357;
1399,615;0,1886813;0,1748197;
1401,479;0,1819815;0,1681354;
1403,343;0,1751941;0,1613634;
1405,206;0,1683636;0,1545483;
1407,070;0,1618272;0,1480272;
1408,934;0,1555881;0,1418034;
1410,797;0,1491962;0,1354266;
1412,661;0,1429983;0,1292438;
1414,525;0,1369968;0,1232573;
1416,388;0,1308709;0,1171463;
1418,252;0,1242137;0,1105039;
1420,116;0,1182416;0,1045465;
1421,979;0,1127931;0,09911267;
1423,843;0,1068373;0,09317146;
1425,707;0,1011556;0,0875043;
1427,570;0,09673784;0,08310098;
1429,434;0,09575628;0,08213379;
1431,298;0,09777109;0,08416289;
1433,161;0,09540671;0,08181273;
1435,025;0,08822472;0,07464487;
1436,889;0,07975095;0,06618517;
1438,752;0,07357566;0,06002389;
1440,616;0,06843125;0,0548934;
1442,480;0,06320125;0,04967725;
1444,343;0,05791832;0,0444081;
1446,207;0,05240029;0,03890377;
1448,071;0,04671703;0,03323416;
1449,934;0,04209548;0,02862618;
1451,798;0,03847963;0,02502383;
1453,662;0,03568306;0,02224069;
1455,525;0,0337018;0,02027279;
1457,389;0,03277557;0,01935985;
1459,253;0,03219983;0,01879734;
1461,116;0,03140302;0,01801368;
1462,980;0,03062013;0,01724389;
1464,844;0,03011376;0,01675055;
1466,707;0,02950212;0,01615186;
1468,571;0,02862562;0,01528826;
1470,435;0,02774194;0,01441741;
1472,298;0,02721365;0,01390187;
1474,162;0,02689513;0,01359605;
1476,026;0,02631821;0,01303177;
1477,889;0,02582453;0,01255066;
1479,753;0,02539194;0,01213057;
1481,617;0,0248937;0,01164478;
1483,480;0,02445973;0,0112232;
1485,344;0,02405485;0,01083064;
1487,208;0,02372685;0,01051489;
1489,071;0,02352138;0,01032162;
1490,935;0,02353001;0,01034239;
1492,799;0,02308043;0,009904884;
1494,662;0,02256804;0,009404504;
1496,526;0,02250394;0,009352364;
1498,390;0,02236947;0,009229784;
1500,253;0,02196229;0,008834441;
1502,117;0,02149348;0,008377413;
1503,981;0,02084403;0,007739681;
1505,844;0,02028729;0,007194603;
1507,708;0,02044243;0,007361347;
1509,572;0,02003812;0,006968591;
1511,435;0,01954423;0,00648619;
1513,299;0,01917229;0,00612568;
1515,163;0,01862094;0,00558571;
1517,026;0,01832269;0,00529878;
1518,890;0,01796893;0,004956286;
1520,754;0,01759997;0,004598537;
1522,618;0,01740505;0,004414774;
1524,481;0,01689218;0,003913007;
1526,345;0,01653625;0,003568128;
1528,209;0,01638109;0,003423964;
1530,072;0,01618222;0,003236032;
1531,936;0,0158529;0,002917603;
1533,800;0,01584689;0,002922428;
1535,663;0,01561439;0,002700709;
1537,527;0,01493165;0,002028699;
1539,391;0,0146682;0,001775928;
1541,254;0,01476289;0,00188124;
1543,118;0,01469645;0,001825375;
1544,982;0,01454385;0,001683298;
1546,845;0,01433024;0,001480162;
1548,709;0,01415682;0,001317171;
1550,573;0,01425638;0,001427105;
1552,436;0,01415903;0,001340076;
1554,300;0,01387319;0,001064513;
1556,164;0,01336081;0,0005623523;
1558,027;0,013013;0,0002247204;
1559,891;0,01375753;0,000979381;
1561,755;0,01368805;0,0009199717;
1563,618;0,01327248;0,0005144318;
1565,482;0,01332074;0,0005726845;
1567,346;0,01317445;0,000436321;
1569,209;0,01323998;0,0005117431;
1571,073;0,01336165;0,0006432528;
1572,937;0,01305601;0,0003474153;
1574,800;0,0128504;0,000151546;
1576,664;0,01310991;0,0004207611;
1578,528;0,01304153;0,0003620445;
1580,391;0,01296788;0,0002980027;
1582,255;0,01298851;0,0003282012;
1584,119;0,01301568;0,0003648918;
1585,982;0,01296263;0,0003213147;
1587,846;0,01300952;0,0003776371;
1589,710;0,01314609;0,0005236009;
1591,573;0,01323609;0,0006229372;
1593,437;0,01330662;0,0007027709;
1595,301;0,01350305;0,0009084597;
1597,164;0,01364706;0,001061685;
1599,028;0,01374703;0,001170823;
1600,892;0,01402435;0,001457274;
1602,755;0,01440923;0,001851244;
1604,619;0,01461863;0,002069687;
1606,483;0,01485025;0,002310304;
1608,346;0,01523501;0,002704027;
1610,210;0,01590077;0,003378709;
1612,074;0,01647852;0,003965335;
1613,937;0,01689164;0,004387292;
1615,801;0,01771623;0,00522067;
1617,665;0,01914839;0,006661593;
1619,528;0,01930049;0,006822402;
1621,392;0,01918673;0,006717325;
1623,256;0,01921268;0,006751902;
1625,119;0,01881003;0,006357853;
1626,983;0,01813031;0,005686686;
1628,847;0,01786093;0,005425825;
1630,710;0,0175707;0,005144077;
1632,574;0,01704662;0,004628433;
1634,438;0,01652709;0,004117303;
1636,301;0,016874;0,004472577;
1638,165;0,01729241;0,004899316;
1640,029;0,01724326;0,004858447;
1641,892;0,0169528;0,004576242;
1643,756;0,01666861;0,00430026;
1645,620;0,01654013;0,004179958;
1647,483;0,01676886;0,004416827;
1649,347;0,01638806;0,004044126;
1651,211;0,01548375;0,003147879;
1653,074;0,01504999;0,002722151;
1654,938;0,01570198;0,003382137;
1656,802;0,01568022;0,003368335;
1658,665;0,01565586;0,003351894;
1660,529;0,01568612;0,003390032;
1662,393;0,0157653;0,003477064;
1664,256;0,01590948;0,003629062;
1666,120;0,01563141;0,003358768;
1667,984;0,01546559;0,003200697;
1669,847;0,01591407;0,003656888;
1671,711;0,01572578;0,003476276;
1673,575;0,01526791;0,003026044;
1675,438;0,01547732;0,003243068;
1677,302;0,01547426;0,003247578;
1679,166;0,01513341;0,002914275;
1681,029;0,01489227;0,002680634;
1682,893;0,01427506;0,002070899;
1684,757;0,01418864;0,001991924;
1686,620;0,01399331;0,001803999;
1688,484;0,01338882;0,001206884;
1690,348;0,01300965;0,0008350596;
1692,211;0,01251362;0,0003463382;
1694,075;0,0120186;-0,0001413965;
1695,939;0,01181198;-0,0003407734;
1697,802;0,01132615;-0,0008193899;
1699,666;0,01060378;-0,00153457;
1701,530;0,01070789;-0,00142331;
1703,393;0,01049186;-0,001632218;
1705,257;0,01013479;-0,001982201;
1707,121;0,01006949;-0,002040446;
1708,984;0,009911897;-0,002191009;
1710,848;0,009639938;-0,00245597;
1712,712;0,009481165;-0,002607776;
1714,575;0,009464254;-0,00261775;
1716,439;0,009445275;-0,002629823;
1718,303;0,009474693;-0,002593528;
1720,166;0,009425863;-0,002635512;
1722,030;0,009261438;-0,002793119;
1723,894;0,009290839;-0,002756931;
1725,757;0,00950059;-0,002540421;
1727,621;0,009412719;-0,002621563;
1729,485;0,009090058;-0,002937524;
1731,348;0,00896439;-0,00305652;
1733,212;0,009303194;-0,002711072;
1735,076;0,009657694;-0,002349958;
1736,939;0,009201897;-0,002799169;
1738,803;0,009015854;-0,002978654;
1740,667;0,009090444;-0,002897534;
1742,530;0,009124746;-0,00285673;
1744,394;0,009211966;-0,002763036;
1746,258;0,009275762;-0,002692794;
1748,121;0,009588622;-0,002373515;
1749,985;0,009872833;-0,002082912;
1751,849;0,01038519;-0,001564192;
1753,712;0,01099437;-0,0009486734;
1755,576;0,0122995;0,000362766;
1757,440;0,01506679;0,003136341;
1759,303;0,01857031;0,006646122;
1761,167;0,02423559;0,01231763;
1763,031;0,02642614;0,01451439;
1764,894;0,01912912;0,00722354;
1766,758;0,01220731;0,000307889;
1768,622;0,009796276;-0,002097022;
1770,485;0,009068088;-0,002819109;
1772,349;0,008725048;-0,003156074;
1774,213;0,009072707;-0,002802366;
1776,076;0,009154137;-0,002714911;
1777,940;0,009021724;-0,002841326;
1779,804;0,00895709;-0,002899986;
1781,667;0,008860398;-0,00299073;
1783,531;0,00862312;-0,003222083;
1785,395;0,008796419;-0,003042885;
1787,258;0,009052151;-0,002781278;
1789,122;0,009096259;-0,00273132;
1790,986;0,009079833;-0,00274192;
1792,849;0,009036868;-0,002779083;
1794,713;0,008776258;-0,003033915;
1796,577;0,008697644;-0,003106776;
1798,441;0,008864577;-0,002934113;
1800,304;0,008974793;-0,00281819;
1802,168;0,008906345;-0,002880955;
1804,032;0,008952869;-0,002828772;
1805,895;0,008936419;-0,002839587;
1807,759;0,008758218;-0,003012175;
1809,623;0,008860409;-0,002904395;
1811,486;0,009058725;-0,002700512;
1813,350;0,009191792;-0,002561902;
1815,214;0,009031245;-0,002716927;
1817,077;0,008703273;-0,003039401;
1818,941;0,008564521;-0,003172677;
1820,805;0,008581223;-0,003150522;
1822,668;0,008751118;-0,002975196;
1824,532;0,008799564;-0,002921341;
1826,396;0,008682138;-0,00303338;
1828,259;0,008611836;-0,003098316;
1830,123;0,008599307;-0,003105503;
1831,987;0,008526088;-0,0031734;
1833,850;0,008502208;-0,003191981;
