;Apr09_TPC_0-1-0_LMW;Apr09_TPC_0-1-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,2269584;0,03940115;
652,284;0,2243385;0,03786483;
654,148;0,2211016;0,03570231;
656,011;0,2169298;0,03259569;
657,875;0,2130958;0,02981794;
659,739;0,2100329;0,02780228;
661,602;0,208031;0,02683873;
663,466;0,206946;0,02678337;
665,330;0,2066734;0,02753184;
667,193;0,2096975;0,03156841;
669,057;0,2143173;0,03719229;
670,921;0,2157524;0,03962302;
672,784;0,2175263;0,04238437;
674,648;0,2189097;0,04474702;
676,512;0,219685;0,04649351;
678,375;0,2194419;0,04721354;
680,239;0,2188459;0,04757283;
682,103;0,2174508;0,0471251;
683,966;0,2151547;0,04576875;
685,830;0,2115305;0,04307659;
687,694;0,2071749;0,03964548;
689,557;0,2025729;0,03596055;
691,421;0,1989834;0,03328064;
693,285;0,1972401;0,03243957;
695,149;0,19688;0,03297453;
697,012;0,1969536;0,033936;
698,876;0,1975866;0,03544972;
700,740;0,1968227;0,03555959;
702,603;0,1917691;0,03137277;
704,467;0,1829882;0,02345183;
706,331;0,1738086;0,01512537;
708,194;0,1657845;0,007947693;
710,058;0,1598858;0,002888753;
711,922;0,1558254;-0,0003384503;
713,785;0,1531939;-0,002143319;
715,649;0,1517404;-0,002776616;
717,513;0,1510678;-0,002635457;
719,376;0,1506158;-0,002279886;
721,240;0,1502202;-0,001874298;
723,104;0,1498006;-0,001498785;
724,967;0,1496861;-0,0008243803;
726,831;0,1496136;-0,0001139975;
728,695;0,1495928;0,0006420888;
730,558;0,1494416;0,001261763;
732,422;0,149294;0,001879261;
734,286;0,1489747;0,00231924;
736,149;0,1486624;0,002760432;
738,013;0,14841;0,003255769;
739,877;0,1484758;0,004063754;
741,740;0,148697;0,005021527;
743,604;0,1492549;0,006310388;
745,468;0,1498547;0,007635787;
747,331;0,1507241;0,009225319;
749,195;0,1518561;0,01107199;
751,059;0,1530363;0,01296163;
752,922;0,1543818;0,01501137;
754,786;0,1561839;0,01751246;
756,650;0,1584566;0,02047899;
758,513;0,1614009;0,02411192;
760,377;0,1646818;0,02807648;
762,241;0,1681711;0,03224446;
764,104;0,171744;0,03649103;
765,968;0,1741222;0,03953796;
767,832;0,1728635;0,03894315;
769,695;0,167603;0,03434176;
771,559;0,1613888;0,0287819;
773,423;0,1567376;0,02478028;
775,286;0,1534184;0,02210603;
777,150;0,1509419;0,02026983;
779,014;0,1492101;0,0191737;
780,877;0,1480848;0,01867957;
782,741;0,1472185;0,01843982;
784,605;0,1465324;0,01837591;
786,468;0,145723;0,01818435;
788,332;0,1447924;0,01786714;
790,196;0,1436847;0,01736844;
792,059;0,1427715;0,01706001;
793,923;0,1420603;0,01694935;
795,787;0,1416073;0,01709265;
797,650;0,1412342;0,01731166;
799,514;0,1408378;0,0175032;
801,378;0,1406834;0,01793267;
803,241;0,140901;0,01873007;
805,105;0,1412213;0,01962624;
806,969;0,1416307;0,02060745;
808,832;0,1421259;0,02167047;
810,696;0,1428685;0,02297704;
812,560;0,1436944;0,02436307;
814,423;0,1447354;0,02596026;
816,287;0,1460445;0,02782185;
818,151;0,1474873;0,02981332;
820,014;0,1492478;0,03211873;
821,878;0,1515949;0,03500707;
823,742;0,1549027;0,0388524;
825,605;0,1599016;0,0443852;
827,469;0,1673925;0,05240644;
829,333;0,1769701;0,06251081;
831,196;0,1855889;0,07165281;
833,060;0,1897565;0,07634009;
834,924;0,1885596;0,07565938;
836,787;0,1841219;0,07173449;
838,651;0,1787596;0,0668815;
840,515;0,1740059;0,06263385;
842,378;0,1695965;0,05872701;
844,242;0,1647935;0,0544233;
