;Apr15_TPC_0-04-06_HMW;Apr15_TPC_0-04-06_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1162743;0,001226442;
652,284;0,1158539;0,001411478;
654,148;0,1153497;0,001507641;
656,011;0,1146332;0,0013864;
657,875;0,1140574;0,0014008;
659,739;0,1134759;0,001404493;
661,602;0,1130055;0,001514352;
663,466;0,1124753;0,001559455;
665,330;0,1112086;0,0008633218;
667,193;0,1111822;0,001402652;
669,057;0,1121673;0,002948835;
670,921;0,1108431;0,002180958;
672,784;0,1100898;0,00197946;
674,648;0,1093882;0,001825052;
676,512;0,1088513;0,001830788;
678,375;0,108373;0,001890676;
680,239;0,1079629;0,002014394;
682,103;0,1075009;0,002081796;
683,966;0,107029;0,002135044;
685,830;0,1064719;0,002098798;
687,694;0,1060743;0,002217698;
689,557;0,1056554;0,002311237;
691,421;0,1052833;0,002447455;
693,285;0,1049363;0,002604591;
695,149;0,1047162;0,002884642;
697,012;0,1043209;0,002985502;
698,876;0,1038462;0,003002964;
700,740;0,1031957;0,002840639;
702,603;0,1025464;0,002675743;
704,467;0,1018465;0,002456333;
706,331;0,1011285;0,002215071;
708,194;0,1003576;0,001917147;
710,058;0,09974698;0,00177576;
711,922;0,09909355;0,00158789;
713,785;0,09851295;0,001469218;
715,649;0,09796735;0,00138193;
717,513;0,09744856;0,001317895;
719,376;0,09705649;0,00137704;
721,240;0,09671828;0,001486557;
723,104;0,09620249;0,001415045;
724,967;0,09566057;0,001313971;
726,831;0,09502417;0,00111503;
728,695;0,09456496;0,001089931;
730,558;0,09424361;0,001199373;
732,422;0,09382379;0,001207055;
734,286;0,09333675;0,001144273;
736,149;0,09308908;0,001317642;
738,013;0,09267469;0,001321103;
739,877;0,0922753;0,001336415;
741,740;0,09207995;0,001552642;
743,604;0,09189034;0,001771518;
745,468;0,09151356;0,001800165;
747,331;0,09126913;0,001958132;
749,195;0,09098574;0,002074146;
751,059;0,09062905;0,002113878;
752,922;0,09034878;0,002227098;
754,786;0,09008268;0,002351578;
756,650;0,08971289;0,00236948;
758,513;0,08941451;0,002455943;
760,377;0,08918857;0,002612013;
762,241;0,08894979;0,00275245;
764,104;0,08867652;0,002855624;
765,968;0,08852706;0,003079863;
767,832;0,08829309;0,003216872;
769,695;0,08799359;0,003285671;
771,559;0,08779904;0,003456738;
773,423;0,08777887;0,003799562;
775,286;0,08770826;0,004089313;
777,150;0,08769853;0,004437372;
779,014;0,08765661;0,004750667;
780,877;0,08753729;0,004984019;
782,741;0,08722198;0,005018869;
784,605;0,08692304;0,0050676;
786,468;0,08665955;0,005149308;
788,332;0,08637447;0,00520698;
790,196;0,08613449;0,005307335;
792,059;0,08593561;0,005446387;
793,923;0,08570451;0,005550837;
795,787;0,08548883;0,00566836;
797,650;0,08521783;0,005728231;
799,514;0,08502713;0,005866085;
801,378;0,08486428;0,006029503;
803,241;0,08471919;0,00620841;
805,105;0,08458278;0,006393745;
806,969;0,08428935;0,00641984;
808,832;0,08395094;0,00639875;
810,696;0,08368279;0,006445737;
812,560;0,08325536;0,006331272;
814,423;0,0829884;0,006375127;
816,287;0,08276655;0,006461977;
818,151;0,08238968;0,00639169;
820,014;0,08197421;0,006280718;
821,878;0,08169296;0,006301906;
823,742;0,08138328;0,006292603;
825,605;0,08109821;0,006305874;
827,469;0,08081599;0,006319989;
829,333;0,0805795;0,006377844;
831,196;0,08048436;0,006575066;
833,060;0,08045968;0,006840781;
834,924;0,08031146;0,006981021;
836,787;0,08021403;0,007170127;
838,651;0,08001461;0,007255323;
840,515;0,07961694;0,007140387;
842,378;0,07913198;0,00693629;
844,242;0,07883557;0,006918878;
846,106;0,07854015;0,006900618;
847,969;0,07823576;0,00687157;
849,833;0,07796286;0,006872189;
851,697;0,0777807;0,006961765;
853,560;0,07766997;0,007120986;
855,424;0,07756896;0,007288165;
857,288;0,07741523;0,007400886;
859,151;0,07743185;0,00768221;
861,015;0,07746291;0,007976272;
