;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,09921195;0,02609487;
652,284;0,1045533;0,03180293;
654,148;0,1119924;0,03960555;
656,011;0,1166153;0,04458894;
657,875;0,1136202;0,04195134;
659,739;0,104749;0,03343455;
661,602;0,09562621;0,02466312;
663,466;0,08940591;0,01879126;
665,330;0,08561485;0,01534574;
667,193;0,08374597;0,01381949;
669,057;0,0824033;0,01281659;
670,921;0,08010886;0,0108591;
672,784;0,07812573;0,009210126;
674,648;0,07637211;0,00778789;
676,512;0,07492832;0,006672745;
678,375;0,07365288;0,005723255;
680,239;0,07277876;0,005172412;
682,103;0,07204042;0,00475469;
683,966;0,07163398;0,004666256;
685,830;0,07128182;0,004629514;
687,694;0,0710011;0,004661651;
689,557;0,07072894;0,004699815;
691,421;0,07068552;0,004964219;
693,285;0,07057836;0,005162397;
695,149;0,07042697;0,005313893;
697,012;0,07022336;0,005410741;
698,876;0,070092;0,005577446;
700,740;0,06994227;0,005723404;
702,603;0,06985572;0,005930182;
704,467;0,06979682;0,006162299;
706,331;0,06985801;0,006512193;
708,194;0,06992992;0,006870536;
710,058;0,07041451;0,00763931;
711,922;0,07105755;0,008564301;
713,785;0,07160164;0,009388138;
715,649;0,07136698;0,009431036;
717,513;0,07059077;0,008930234;
719,376;0,07036305;0,008975779;
721,240;0,07051404;0,009397918;
723,104;0,07069695;0,009849889;
724,967;0,0710233;0,01044322;
726,831;0,07134589;0,01103075;
728,695;0,07180185;0,01174961;
730,558;0,07230205;0,0125107;
732,422;0,07292627;0,01339383;
734,286;0,07343392;0,01415842;
736,149;0,0739363;0,01491578;
738,013;0,07445661;0,01568914;
739,877;0,07500818;0,01649187;
741,740;0,07545592;0,01718887;
743,604;0,07606296;0,01804329;
745,468;0,07643701;0,01866287;
747,331;0,07648417;0,01895373;
749,195;0,07636697;0,01907841;
751,059;0,07610027;0,0190518;
752,922;0,07548672;0,01867655;
754,786;0,07462687;0,01805324;
756,650;0,07359846;0,01725962;
758,513;0,07243995;0,01633417;
760,377;0,07107253;0,01519811;
762,241;0,0696337;0,01398894;
764,104;0,06826362;0,01284684;
765,968;0,06703929;0,01184882;
767,832;0,06594195;0,01097615;
769,695;0,06491694;0,01017419;
771,559;0,06396342;0,009442092;
773,423;0,06312335;0,008821855;
775,286;0,06229951;0,008216257;
777,150;0,06153733;0,007670761;
779,014;0,06092441;0,007272966;
780,877;0,06047682;0,007038953;
782,741;0,05998432;0,006758518;
784,605;0,05953343;0,006518184;
786,468;0,05918291;0,00637672;
788,332;0,05895565;0,006357032;
790,196;0,05870015;0,006307651;
792,059;0,05848239;0,00629454;
793,923;0,05836039;0,006375764;
795,787;0,05823877;0,00645593;
797,650;0,05805065;0,006468193;
799,514;0,05802626;0,006642773;
801,378;0,05816954;0,006983647;
803,241;0,05844139;0,00745172;
805,105;0,05890854;0,008113729;
806,969;0,05995546;0,00935415;
808,832;0,06206258;0,01165345;
810,696;0,06410563;0,01388734;
812,560;0,06517865;0,0151499;
814,423;0,06836508;0,01852457;
816,287;0,07576945;0,02611589;
818,151;0,08967036;0,04020248;
820,014;0,1143664;0,06508291;
821,878;0,1484819;0,09938162;
823,742;0,1670714;0,118153;
825,605;0,1434276;0,09468983;
827,469;0,100262;0,05170371;
829,333;0,07112341;0,02274341;
831,196;0,05925149;0,01104854;
833,060;0,05504822;0,007021142;
834,924;0,05288719;0,005034807;
836,787;0,05157322;0,003894368;
838,651;0,05073409;0,003227613;
840,515;0,05014295;0,0028077;
842,378;0,04967364;0,002508478;
844,242;0,04935868;0,002362491;
846,106;0,0490287;0,002200356;
847,969;0,04871055;0,002048954;
849,833;0,04849851;0,002002564;
851,697;0,04841816;0,002086778;
853,560;0,04832095;0,002153063;
855,424;0,04818477;0,002179297;
857,288;0,04799123;0,002147122;
859,151;0,04796737;0,00228357;
861,015;0,04802203;0,002497511;
862,879;0,04800609;0,002639814;
864,742;0,04792859;0,002719532;
866,606;0,04786801;0,002815164;
868,470;0,04780375;0,002906104;
870,333;0,04781342;0,003069974;
872,197;0,04780373;0,00321351;
874,061;0,04778278;0,003344794;
875,924;0,04781247;0,003525759;
877,788;0,04790848;0,00377208;
879,652;0,04802052;0,004033465;
881,515;0,04809473;0,004256085;
883,379;0,0481035;0,004412321;
885,243;0,04817583;0,00463119;
887,106;0,04830169;0,004902667;
888,970;0,04852147;0,00526715;
890,834;0,0486961;0,005585574;
892,697;0,04887984;0,0059122;
894,561;0,04908384;0,006258199;
896,425;0,04927502;0,006590501;
898,288;0,04948471;0,006940431;
900,152;0,04969573;0,007290816;
902,016;0,04986951;0,007603107;
903,879;0,05011335;0,007984601;
905,743;0,05031197;0,008320013;
907,607;0,05055334;0,008697343;
909,470;0,0507827;0,009061829;
911,334;0,05098971;0,009403139;
913,198;0,05121036;0,009757268;
915,061;0,05144073;0,01012029;
