;Jun15_TPC_0-0-1_HMW;Jun15_TPC_0-0-1_HMW (baseline corrected) (baseline corrected) (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1618122;0,008314519;
652,284;0,1609057;0,008179235;
654,148;0,1602129;0,00825111;
656,011;0,1592311;0,008027477;
657,875;0,158385;0,0079331;
659,739;0,1575871;0,007880509;
661,602;0,1566517;0,007684221;
663,466;0,1553265;0,007091773;
665,330;0,1531397;0,00563174;
667,193;0,151969;0,00518158;
669,057;0,1531971;0,007124295;
670,921;0,1514594;0,006095236;
672,784;0,1499688;0,00530736;
674,648;0,1489529;0,004988499;
676,512;0,1480826;0,00480934;
678,375;0,1470329;0,004445143;
680,239;0,146216;0,004308116;
682,103;0,1455807;0,004347166;
683,966;0,1450195;0,004454818;
685,830;0,1442376;0,004336189;
687,694;0,143571;0,004327588;
689,557;0,1429483;0,004357618;
691,421;0,1424523;0,004508988;
693,285;0,1418032;0,00450201;
695,149;0,1413779;0,004713717;
697,012;0,140957;0,004924736;
698,876;0,1403783;0,004972936;
700,740;0,1396849;0,00490135;
702,603;0,1390365;0,00486984;
704,467;0,1382852;0,004730576;
706,331;0,1377158;0,004768407;
708,194;0,1369995;0,00465448;
710,058;0,1360266;0,004279253;
711,922;0,1350328;0,003878516;
713,785;0,134228;0,003662043;
715,649;0,1332695;0,003287271;
717,513;0,1323814;0,002978419;
719,376;0,1313106;0,002482258;
721,240;0,1301959;0,001937841;
723,104;0,129051;0,001358819;
724,967;0,127996;0,0008653033;
726,831;0,1267711;0,0001976112;
728,695;0,1257528;-0,0002677528;
730,558;0,1247394;-0,0007324703;
732,422;0,1237457;-0,001181617;
734,286;0,1229409;-0,001446067;
736,149;0,1221936;-0,001657159;
738,013;0,1213619;-0,001956645;
739,877;0,1207073;-0,002083004;
741,740;0,120192;-0,002074074;
743,604;0,1196915;-0,0020543;
745,468;0,1191825;-0,002046948;
747,331;0,1188956;-0,001821279;
749,195;0,1186047;-0,001603495;
751,059;0,1184364;-0,001266815;
752,922;0,1182886;-0,0009134582;
754,786;0,1182232;-0,0004814332;
756,650;0,1181423;-6,849995E-5;
758,513;0,1180262;0,0003056124;
760,377;0,1178457;0,0006116126;
762,241;0,1176113;0,0008601961;
764,104;0,1172551;0,0009835615;
765,968;0,1169698;0,001174233;
767,832;0,1166705;0,001347448;
769,695;0,1165931;0,001739125;
771,559;0,1163161;0,001927743;
773,423;0,116027;0,00210104;
775,286;0,1158301;0,002363143;
777,150;0,1155892;0,002577881;
779,014;0,1152201;0,002661255;
780,877;0,1149885;0,002878824;
782,741;0,114689;0,003025352;
784,605;0,1143805;0,003159675;
786,468;0,1142635;0,003482298;
788,332;0,1142309;0,003886253;
790,196;0,1141741;0,004262926;
792,059;0,1141735;0,004692765;
793,923;0,1140599;0,005006576;
795,787;0,1140522;0,005423241;
797,650;0,1141098;0,005902315;
799,514;0,1142074;0,00641841;
801,378;0,1143547;0,0069812;
803,241;0,1144437;0,007482898;
805,105;0,1143786;0,007827598;
806,969;0,1143693;0,008225288;
808,832;0,1141886;0,008448776;
810,696;0,1138673;0,008528816;
812,560;0,1133594;0,008419589;
814,423;0,1125582;0,008014207;
816,287;0,1118566;0,007705846;
818,151;0,1114492;0,007688922;
820,014;0,1108408;0,007468354;
821,878;0,110226;0,007238787;
823,742;0,1097747;0,007170045;
825,605;0,1094737;0,0072491;
827,469;0,1093353;0,007488101;
829,333;0,1093275;0,007855232;
831,196;0,109383;0,008283104;
833,060;0,1097094;0,008979381;
834,924;0,1099647;0,009602017;
836,787;0,1101018;0,0101041;
838,651;0,1102785;0,01064331;
840,515;0,1104666;0,01119155;
842,378;0,1104898;0,01157244;
844,242;0,1106587;0,01209676;
846,106;0,1109656;0,01275663;
847,969;0,1116016;0,0137433;
849,833;0,1123011;0,01479124;
851,697;0,1131049;0,01594115;
853,560;0,1140834;0,01726342;
855,424;0,1150858;0,01860747;
857,288;0,1160507;0,01991175;
859,151;0,1168515;0,02104963;
861,015;0,1174523;0,02198547;
862,879;0,1179462;0,02281214;
864,742;0,1182588;0,02345542;
866,606;0,1184235;0,02394864;
868,470;0,1184219;0,02427343;
870,333;0,1184931;0,02466895;
872,197;0,1186474;0,02514554;
874,061;0,1187695;0,02558774;
875,924;0,1189273;0,0260637;
877,788;0,1193513;0,02680389;
879,652;0,1199628;0,02772949;
881,515;0,1207838;0,02886253;
883,379;0,1217144;0,0301033;
885,243;0,1229425;0,03163957;
887,106;0,1245178;0,03352114;
888,970;0,1261773;0,03548502;
890,834;0,1276763;0,03728642;
892,697;0,1290937;0,03900428;
894,561;0,1301899;0,0403992;
896,425;0,1310358;0,04154181;
898,288;0,1315259;0,04232688;
900,152;0,131893;0,04298712;
902,016;0,1320858;0,04347116;
903,879;0,132177;0,04385195;
905,743;0,1323558;0,04431836;
907,607;0,1328294;0,04507797;
909,470;0,1334715;0,04600426;
911,334;0,1343294;0,04714456;
913,198;0,1354213;0,04851724;
915,061;0,1367052;0,05008013;
916,925;0,1380585;0,05171071;
918,789;0,139524;0,0534518;
920,652;0,1410013;0,05520306;
922,516;0,1425459;0,05701996;
924,380;0,1441614;0,05890604;
926,243;0,1457865;0,06080021;
928,107;0,1474035;0,06268459;
929,971;0,149248;0,06479485;
931,834;0,1512666;0,06707767;
933,698;0,1535546;0,06962831;
935,562;0,1560283;0,07236303;
937,425;0,158585;0,07517921;
939,289;0,1612905;0,07814263;
941,153;0,1642643;0,08137282;
943,016;0,1673696;0,08473308;
944,880;0,1705365;0,08815333;
946,744;0,1735496;0,09141832;
948,607;0,1766065;0,09472566;
950,471;0,1796898;0,09805789;
952,335;0,1827763;0,1013919;
954,198;0,1858537;0,1047153;
956,062;0,1890599;0,1081661;
957,926;0,1921864;0,1115357;
959,789;0,1952873;0,1148784;
961,653;0,1983386;0,1181701;
963,517;0,201439;0,1215094;
965,380;0,204594;0,124902;
967,244;0,2079103;0,1284545;
969,108;0,211179;0,131958;
970,972;0,2144033;0,1354158;
972,835;0,2177088;0,1389534;
974,699;0,2210974;0,1425729;
976,563;0,2242914;0,1459964;
978,426;0,227505;0,1494382;
980,290;0,2305695;0,1527295;
982,154;0,2335748;0,1559604;
984,017;0,2365664;0,1591764;
985,881;0,2397533;0,1625863;
987,745;0,2429698;0,1660246;
989,608;0,2463103;0,1695856;
991,472;0,2494833;0,1729779;
993,336;0,2524296;0,1761422;
995,199;0,2551535;0,1790829;
997,063;0,2579205;0,1820656;
998,927;0,2607949;0,1851544;
1000,790;0,2638083;0,188381;
1002,654;0,2668637;0,1916485;
1004,518;0,2701322;0,1951278;
1006,381;0,2734334;0,1986386;
1008,245;0,2767248;0,2021386;
1010,109;0,2798553;0,2054765;
1011,972;0,2827857;0,2086131;
1013,836;0,2854434;0,2114758;
1015,700;0,2876834;0,2139198;
1017,563;0,2891332;0,2155724;
1019,427;0,2901334;0,2167744;
1021,291;0,2906589;0,2175005;
1023,154;0,2906622;0,2177033;
1025,018;0,2902209;0,2174604;
1026,882;0,2895664;0,2170033;
1028,745;0,2885785;0,2162117;
1030,609;0,2873895;0,2152179;
1032,473;0,2859136;0,2139362;
1034,336;0,2841296;0,2123453;
1036,200;0,281927;0,2103348;
1038,064;0,279386;0,2079848;
1039,927;0,2763743;0,2051631;
1041,791;0,2729047;0,2018825;
1043,655;0,2689129;0,1980787;
1045,518;0,2646219;0,1939747;
1047,382;0,2600925;0,1896313;
1049,246;0,2556204;0,1853441;
1051,109;0,2512618;0,1811695;
1052,973;0,247261;0,1773518;
1054,837;0,243431;0,1737039;
1056,700;0,239919;0,170373;
1058,564;0,2367985;0,1674326;
1060,428;0,2340247;0,164838;
1062,291;0,231486;0,1624775;
1064,155;0,2293051;0,160474;
1066,019;0,2272319;0,1585772;
1067,882;0,2252116;0,1567324;
1069,746;0,2232374;0,1549327;
1071,610;0,2210086;0,1528775;
1073,473;0,2181866;0,1502283;
1075,337;0,215032;0,1472456;
1077,201;0,2113307;0,1437152;
1079,064;0,2071633;0,1397178;
1080,928;0,2027104;0,1354341;
1082,792;0,1981816;0,1310737;
1084,655;0,1936268;0,1266863;
1086,519;0,1893007;0,1225267;
1088,383;0,1852681;0,1186599;
1090,246;0,1815254;0,1150821;
1092,110;0,1780257;0,1117464;
1093,974;0,1748122;0,1086961;
1095,837;0,171703;0,1057493;
1097,701;0,1687998;0,1030076;
1099,565;0,166033;0,1004015;
1101,428;0,1633583;0,09788677;
1103,292;0,1607145;0,09540204;
1105,156;0,1582264;0,0930722;
1107,019;0,1558449;0,09084826;
1108,883;0,1535186;0,08867862;
1110,747;0,1512216;0,08653756;
1112,610;0,1490183;0,08448939;
1114,474;0,1469444;0,08256987;
1116,338;0,1449134;0,08069244;
1118,201;0,1428705;0,0788023;
1120,065;0,1408128;0,07689664;
1121,929;0,138769;0,07500415;
1123,792;0,1367026;0,07308827;
1125,656;0,1344092;0,07094474;
1127,520;0,1320335;0,068718;
1129,383;0,1295469;0,06637975;
1131,247;0,1271024;0,06408289;
1133,111;0,1248558;0,06198311;
1134,974;0,1228562;0,06012964;
1136,838;0,1211333;0,05855215;
1138,702;0,1197586;0,05732216;
1140,565;0,1186959;0,0564034;
1142,429;0,1178778;0,05572858;
1144,293;0,1171447;0,05513807;
1146,156;0,1163346;0,05446985;
1148,020;0,1154186;0,05369505;
1149,884;0,1143004;0,0527174;
1151,747;0,1128732;0,0514301;
1153,611;0,1111293;0,04982529;
1155,475;0,1090159;0,04785036;
1157,338;0,1066429;0,04561524;
1159,202;0,1040113;0,0431208;
1161,066;0,1012152;0,04046111;
1162,929;0,09830299;0,03768478;
1164,793;0,09539402;0,03491099;
1166,657;0,09265506;0,03230657;
1168,520;0,09011865;0,02990405;
1170,384;0,08780028;0,02771894;
1172,248;0,08565315;0,02570442;
1174,111;0,08362149;0,02380476;
1175,975;0,0818188;0,02213343;
1177,839;0,08015838;0,02060374;
1179,702;0,07859019;0,01916567;
1181,566;0,07718;0,01788499;
1183,430;0,07590823;0,01674211;
1185,293;0,07478381;0,01574598;
1187,157;0,07395619;0,01504604;
1189,021;0,07345643;0,01467337;
1190,884;0,0732652;0,01460862;
1192,748;0,0733758;0,01484511;
1194,612;0,07372682;0,01532143;
1196,475;0,07425081;0,01597014;
1198,339;0,07489597;0,01673945;
1200,203;0,07562648;0,01759351;
1202,066;0,07639395;0,01848397;
1203,930;0,0771452;0,01935764;
1205,794;0,07776904;0,02010332;
1207,657;0,07831123;0,0207668;
1209,521;0,07883036;0,02140665;
1211,385;0,07938854;0,022085;
1213,248;0,07993253;0,02274861;
1215,112;0,08044527;0,02338041;
1216,976;0,08097083;0,02402449;
1218,839;0,08154619;0,02471782;
1220,703;0,08209563;0,0253847;
1222,567;0,08252499;0,02593095;
1224,430;0,08299924;0,02652157;
1226,294;0,08359584;0,027234;
1228,158;0,08418868;0,02794215;
1230,021;0,08475286;0,02862111;
1231,885;0,08531994;0,02930246;
1233,749;0,0858442;0,02994046;
1235,612;0,086392;0,0306015;
1237,476;0,08692032;0,03124253;
1239,340;0,08732166;0,03175609;
1241,203;0,08757529;0,03212142;
1243,067;0,08773506;0,0323924;
1244,931;0,08786746;0,03263551;
1246,795;0,08789545;0,0327737;
1248,658;0,0878109;0,03279887;
1250,522;0,08758225;0,03267945;
1252,386;0,08724497;0,03245091;
1254,249;0,08678419;0,03209838;
1256,113;0,08622105;0,03164301;
1257,977;0,08554058;0,03106984;
1259,840;0,08486767;0,03050375;
1261,704;0,08424515;0,02998757;
1263,568;0,08352838;0,02937668;
1265,431;0,08282097;0,02877468;
1267,295;0,08219697;0,02825563;
1269,159;0,08162164;0,02778478;
1271,022;0,08109844;0,0273656;
1272,886;0,08064237;0,02701309;
1274,750;0,08014189;0,02661572;
1276,613;0,07970397;0,02628046;
1278,477;0,07931497;0,02599368;
1280,341;0,07893445;0,02571493;
1282,204;0,07863243;0,02551422;
1284,068;0,0784398;0,02542248;
1285,932;0,07833298;0,02541611;
1287,795;0,07835088;0,025534;
1289,659;0,07840366;0,02568637;
1291,523;0,07838906;0,0257709;
1293,386;0,07846586;0,02594642;
1295,250;0,078675;0,02625385;
1297,114;0,07898904;0,02666575;
1298,977;0,0793107;0,02708486;
1300,841;0,07957112;0,02744231;
1302,705;0,07986184;0,02782964;
1304,568;0,08023849;0,02830249;
1306,432;0,0805922;0,02875198;
1308,296;0,08089236;0,02914752;
1310,159;0,08107532;0,02942545;
1312,023;0,08132253;0,02976723;
1313,887;0,0816468;0,03018566;
1315,750;0,08182795;0,03046057;
1317,614;0,08206155;0,03078753;
1319,478;0,08244678;0,03126574;
1321,341;0,08272898;0,03164052;
1323,205;0,08285522;0,03185894;
1325,069;0,08300463;0,03210015;
1326,932;0,08320234;0,03238927;
1328,796;0,08348209;0,03276005;
1330,660;0,08380765;0,03317626;
1332,523;0,08404421;0,03350308;
1334,387;0,08423879;0,03378754;
1336,251;0,08463917;0,03427744;
1338,114;0,08546952;0,03519693;
1339,978;0,08672116;0,03653733;
1341,842;0,08741586;0,03732042;
1343,705;0,08768062;0,03767322;
1345,569;0,08832051;0,03840077;
1347,433;0,08911341;0,03928096;
1349,296;0,08997434;0,04022883;
1351,160;0,09083676;0,04117783;
1353,024;0,09170625;0,04213354;
1354,887;0,09270367;0,04321682;
1356,751;0,09353826;0,04413692;
1358,615;0,09404968;0,0447335;
1360,478;0,09493997;0,04570861;
1362,342;0,09686055;0,04771366;
1364,206;0,09836599;0,04930321;
1366,069;0,09849132;0,04951231;
1367,933;0,09892888;0,0500333;
1369,797;0,0996215;0,05080901;
1371,660;0,09977089;0,05104115;
1373,524;0,1006166;0,05196928;
1375,388;0,1018771;0,05331181;
1377,251;0,1018169;0,05333343;
1379,115;0,1016542;0,05325212;
1380,979;0,1014503;0,05312928;
1382,842;0,1010339;0,05279368;
1384,706;0,1005739;0,05241415;
1386,570;0,1008915;0,05281186;
1388,433;0,101725;0,05372514;
1390,297;0,1010817;0,05316129;
1392,161;0,1002255;0,05238418;
1394,024;0,1006918;0,05292929;
1395,888;0,1020947;0,05441071;
1397,752;0,1024309;0,05482512;
1399,615;0,1033358;0,05580797;
1401,479;0,1032873;0,05583698;
1403,343;0,1027712;0,05539817;
1405,206;0,1035837;0,05628763;
1407,070;0,1038014;0,05658201;
1408,934;0,1033503;0,05620729;
1410,797;0,1031302;0,05606317;
1412,661;0,1025984;0,05560715;
1414,525;0,1014887;0,05457294;
1416,388;0,1003247;0,05348401;
1418,252;0,1002705;0,05350468;
1420,116;0,1012292;0,05453795;
1421,979;0,09962561;0,05300866;
1423,843;0,09803453;0,05149155;
1425,707;0,09691496;0,05044567;
1427,570;0,09494535;0,04854946;
1429,434;0,09372699;0,04740421;
1431,298;0,09257689;0,04632694;
1433,161;0,09051343;0,04433602;
1435,025;0,08868811;0,04258296;
1436,889;0,08916621;0,04313304;
1438,752;0,08882164;0,04286016;
1440,616;0,0869392;0,04104915;
1442,480;0,08590312;0,04008421;
1444,343;0,08498886;0,03924082;
1446,207;0,08436755;0,03869011;
1448,071;0,08446437;0,03885725;
1449,934;0,08400346;0,0384664;
1451,798;0,08252727;0,03705999;
1453,662;0,08095669;0,03555892;
1455,525;0,07980267;0,03447415;
1457,389;0,08206571;0,03680617;
1459,253;0,08219731;0,03700649;
1461,116;0,07988318;0,03476082;
1462,980;0,07784748;0,03279331;
1464,844;0,07719356;0,03220732;
1466,707;0,07605864;0,03114008;
1468,571;0,07340403;0,02855289;
1470,435;0,0707532;0,02596921;
1472,298;0,0698047;0,02508763;
1474,162;0,06958655;0,02493613;
1476,026;0,06837617;0,02379214;
1477,889;0,06737944;0,02286156;
1479,753;0,06631052;0,02185855;
1481,617;0,06582833;0,02144201;
1483,480;0,06536091;0,02103999;
1485,344;0,06471656;0,0204608;
1487,208;0,06494113;0,02075028;
1489,071;0,06607089;0,02194471;
1490,935;0,06719695;0,0231352;
1492,799;0,06659951;0,02260195;
1494,662;0,06595805;0,02202443;
1496,526;0,06745312;0,02358321;
1498,390;0,06897645;0,02517;
1500,253;0,06895023;0,02520702;
1502,117;0,06805557;0,02437536;
1503,981;0,06681064;0,02319319;
1505,844;0,06814011;0,0245852;
1507,708;0,07306022;0,02956761;
1509,572;0,07296965;0,02953911;
1511,435;0,07186065;0,02849194;
1513,299;0,07124814;0,02794105;
1515,163;0,07027487;0,02702916;
1517,026;0,07004272;0,02685817;
1518,890;0,06910075;0,02597713;
1520,754;0,06826714;0,02520423;
1522,618;0,06890746;0,02590503;
1524,481;0,06792639;0,02498423;
1526,345;0,0676671;0,02478498;
1528,209;0,06748116;0,02465887;
1530,072;0,06658974;0,02382705;
1531,936;0,06615078;0,02344748;
1533,800;0,06726576;0,02462163;
1535,663;0,06683383;0,02424866;
1537,527;0,06496079;0,02243436;
1539,391;0,06625203;0,02378413;
1541,254;0,06937062;0,02696104;
1543,118;0,06949808;0,0271466;
1544,982;0,06937785;0,02708427;
1546,845;0,06893985;0,02670395;
1548,709;0,06827485;0,02609644;
1550,573;0,06856256;0,02644142;
1552,436;0,06787818;0,0258141;
1554,300;0,06726967;0,02526246;
1556,164;0,06673341;0,02478285;
1558,027;0,06805817;0,02616406;
1559,891;0,07371141;0,03187355;
1561,755;0,07235627;0,03057446;
1563,618;0,07047141;0,02874545;
1565,482;0,07051986;0,02884955;
1567,346;0,07054089;0,02892603;
1569,209;0,07171099;0,03015139;
1571,073;0,07322456;0,03172001;
1572,937;0,07235092;0,03090123;
1574,800;0,07263332;0,0312383;
1576,664;0,07595099;0,03461044;
1578,528;0,07699805;0,03571178;
1580,391;0,0765142;0,03528202;
1582,255;0,07716866;0,03599038;
1584,119;0,07801893;0,03689435;
1585,982;0,07899082;0,03791976;
1587,846;0,07983028;0,03881255;
1589,710;0,08073615;0,03977157;
1591,573;0,08146083;0,04054921;
1593,437;0,0821137;0,04125484;
1595,301;0,08281183;0,04200556;
1597,164;0,08329436;0,04254049;
1599,028;0,08329006;0,0425884;
1600,892;0,08338384;0,04273422;
1602,755;0,08334845;0,04275069;
1604,619;0,08317744;0,04263135;
1606,483;0,08288887;0,04239428;
1608,346;0,08281249;0,04236921;
1610,210;0,08249172;0,04209958;
1612,074;0,08176575;0,04142457;
1613,937;0,08075484;0,04046444;
1615,801;0,08117628;0,04093649;
1617,665;0,08323779;0,04304843;
1619,528;0,08252368;0,04238458;
1621,392;0,08136379;0,04127478;
1623,256;0,08220528;0,04216618;
1625,119;0,08283444;0,04284508;
1626,983;0,08232181;0,04238202;
1628,847;0,08230497;0,04241459;
1630,710;0,08122204;0,04138088;
1632,574;0,07941261;0,03962052;
1634,438;0,07889714;0,03915395;
1636,301;0,08112646;0,04143199;
1638,165;0,08083184;0,04118593;
1640,029;0,07873288;0,03913538;
1641,892;0,07701982;0,03747054;
1643,756;0,07525314;0,03575194;
1645,620;0,07433513;0,03488183;
1647,483;0,07477853;0,03537297;
1649,347;0,07324053;0,03388255;
1651,211;0,0702691;0,03095855;
1653,074;0,07161744;0,03235414;
1654,938;0,07360839;0,03439219;
1656,802;0,07082381;0,03165455;
1658,665;0,06837395;0,02925147;
1660,529;0,06655653;0,02748069;
1662,393;0,06535758;0,0263282;
1664,256;0,06446964;0,02548657;
1666,120;0,0623374;0,02340049;
1667,984;0,06030043;0,02140953;
1669,847;0,05955884;0,02071378;
1671,711;0,05860933;0,01980997;
1673,575;0,05679811;0,01804429;
1675,438;0,05590552;0,01719709;
1677,302;0,05468742;0,01602423;
1679,166;0,05231463;0,01369653;
1681,029;0,05040074;0,01182757;
1682,893;0,04894597;0,0104176;
1684,757;0,04938503;0,0109013;
1686,620;0,04870667;0,01026743;
