;Jun18_TPC_0-1-0_HMW;Jun18_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1709129;-0,0008038374;
652,284;0,1701805;-0,0005725891;
654,148;0,1697147;-8,302523E-5;
656,011;0,1690233;0,0001728972;
657,875;0,1682836;0,0003723834;
659,739;0,1677521;0,0007722246;
661,602;0,1674648;0,001408374;
663,466;0,1667469;0,001606153;
665,330;0,1652951;0,001062307;
667,193;0,1651996;0,001867168;
669,057;0,1665737;0,004134202;
670,921;0,1649192;0,003365128;
672,784;0,164028;0,003351955;
674,648;0,1633378;0,003532602;
676,512;0,1625904;0,003648898;
678,375;0,161914;0,003829035;
680,239;0,1614205;0,00418498;
682,103;0,1605411;0,004148153;
683,966;0,1595279;0,003970579;
685,830;0,1585675;0,003839026;
687,694;0,158052;0,004145696;
689,557;0,1574415;0,004350681;
691,421;0,1569278;0,00464591;
693,285;0,1563641;0,004884584;
695,149;0,1560941;0,005410497;
697,012;0,155736;0,005841973;
698,876;0,155255;0,006144225;
700,740;0,1545222;0,006188414;
702,603;0,1536944;0,0061314;
704,467;0,1526545;0,005856303;
706,331;0,1516076;0,005568018;
708,194;0,1504583;0,005171417;
710,058;0,149541;0,00500097;
711,922;0,1486446;0,004845492;
713,785;0,1478052;0,00474114;
715,649;0,1468233;0,004488701;
717,513;0,146007;0,004396049;
719,376;0,145272;0,004379218;
721,240;0,1446428;0,004462499;
723,104;0,1437682;0,004294963;
724,967;0,142891;0,004119341;
726,831;0,1421431;0,004067681;
728,695;0,1415641;0,004179451;
730,558;0,1408482;0,004149176;
732,422;0,1402967;0,004277999;
734,286;0,1397622;0,004418765;
736,149;0,139152;0,004478552;
738,013;0,138608;0,004599623;
739,877;0,1383692;0,005020707;
741,740;0,1379761;0,005282643;
743,604;0,1376311;0,005587722;
745,468;0,1372022;0,005804031;
747,331;0,1367019;0,005944201;
749,195;0,136067;0,005944828;
751,059;0,135571;0,006079734;
752,922;0,1351787;0,006313648;
754,786;0,1347489;0,00650545;
756,650;0,1341429;0,00651645;
758,513;0,1336688;0,00665483;
760,377;0,1331518;0,006745829;
762,241;0,1326069;0,006804424;
764,104;0,132022;0,006818607;
765,968;0,1316564;0,007047699;
767,832;0,1312511;0,007232756;
769,695;0,1307259;0,007293765;
771,559;0,1300442;0,007193908;
773,423;0,1295623;0,00728969;
775,286;0,1292024;0,007503245;
777,150;0,1287397;0,007609986;
779,014;0,1282471;0,007682727;
780,877;0,1278403;0,007837167;
782,741;0,1274661;0,008020192;
784,605;0,1271057;0,008213108;
786,468;0,1264789;0,008135683;
788,332;0,1259235;0,008125711;
790,196;0,1253399;0,008083783;
792,059;0,1248493;0,008131016;
793,923;0,1244953;0,008311041;
795,787;0,1242241;0,008570022;
797,650;0,1239596;0,008832144;
799,514;0,1238676;0,00926303;
801,378;0,1237142;0,009628793;
803,241;0,1236387;0,01006901;
805,105;0,1235382;0,01048049;
806,969;0,1234063;0,01085714;
808,832;0,1230678;0,01102368;
810,696;0,1225912;0,01104855;
812,560;0,1218908;0,01084625;
814,423;0,1210436;0,01049372;
816,287;0,1201373;0,0100786;
818,151;0,1194338;0,00986306;
820,014;0,1188477;0,009761571;
821,878;0,118483;0,009878107;
823,742;0,1182091;0,01008225;
825,605;0,1180438;0,01039182;
827,469;0,1179213;0,01074087;
829,333;0,1179186;0,01120667;
831,196;0,1181005;0,01185378;
833,060;0,1183053;0,01252076;
834,924;0,1180897;0,01276423;
836,787;0,1176664;0,01279693;
838,651;0,1170592;0,01264267;
840,515;0,1161172;0,01215066;
842,378;0,1147699;0,01125031;
844,242;0,113558;0,01048248;
846,106;0,1124437;0,009809192;
847,969;0,1114497;0,009253434;
849,833;0,1105551;0,008794166;
851,697;0,1098452;0,008516706;
853,560;0,1092548;0,008355877;
855,424;0,1088777;0,008405599;
857,288;0,1087468;0,008698775;
859,151;0,1087336;0,00910677;
861,015;0,1087327;0,009524414;
862,879;0,1088489;0,01005645;
864,742;0,1090633;0,01068406;
866,606;0,109284;0,01131517;
868,470;0,109389;0,01182803;
870,333;0,1095412;0,01238544;
872,197;0,1097304;0,0129773;
874,061;0,1099785;0,0136255;
875,924;0,1101994;0,01424391;
877,788;0,1104199;0,01485937;
879,652;0,1106188;0,01545079;
881,515;0,1109128;0,01613473;
883,379;0,111222;0,01683146;
885,243;0,1115711;0,01756561;
887,106;0,1119098;0,01828703;
888,970;0,1122822;0,01903959;
890,834;0,112552;0,01968734;
892,697;0,1128641;0,02037487;
894,561;0,11324;0,02112397;
896,425;0,1136164;0,02187123;
898,288;0,1139717;0,02259505;
900,152;0,1144541;0,02344365;
902,016;0,1149899;0,02434346;
903,879;0,1156873;0,02540253;
905,743;0,1163697;0,02644445;
907,607;0,1171317;0,02756368;
909,470;0,1179173;0,02870444;
911,334;0,118686;0,02982602;
913,198;0,1193493;0,0308401;
915,061;0,1199883;0,03182768;
916,925;0,1204952;0,03268104;
918,789;0,1209126;0,03344279;
920,652;0,1212397;0,03411223;
922,516;0,1216026;0,03481537;
924,380;0,121864;0,03541491;
926,243;0,1220634;0,03595041;
928,107;0,1223122;0,03653328;
929,971;0,1226813;0,03723452;
931,834;0,1231354;0,03801876;
933,698;0,1237244;0,03893586;
935,562;0,1243889;0,03992652;
937,425;0,1253394;0,04120128;
939,289;0,1263977;0,04258188;
941,153;0,1275494;0,04405388;
943,016;0,1287734;0,04559637;
944,880;0,1300439;0,04718355;
946,744;0,1313577;0,04881203;
948,607;0,132842;0,05060919;
950,471;0,1343225;0,05240079;
952,335;0,1358575;0,05424499;
954,198;0,1375737;0,05626856;
956,062;0,1393877;0,05838821;
957,926;0,1411601;0,06046442;
959,789;0,142965;0,06257141;
961,653;0,1447915;0,06469819;
963,517;0,1467057;0,06691098;
965,380;0,1485963;0,0690984;
967,244;0,1505909;0,07138813;
969,108;0,1526349;0,07372555;
970,972;0,1545914;0,07597379;
972,835;0,1563084;0,07798092;
974,699;0,1577218;0,07968273;
976,563;0,1588132;0,08106084;
978,426;0,1596726;0,08220535;
980,290;0,160191;0,08300727;
982,154;0,1604832;0,08358132;
984,017;0,1607489;0,08412735;
985,881;0,1610202;0,08467727;
987,745;0,1614014;0,08533559;
989,608;0,1619932;0,08620297;
991,472;0,1628058;0,08728951;
993,336;0,1639303;0,08868647;
995,199;0,1652235;0,09025062;
997,063;0,1666907;0,09198727;
998,927;0,1682549;0,09381935;
1000,790;0,1699934;0,09582421;
1002,654;0,1719021;0,09799783;
1004,518;0,1739774;0,1003366;
1006,381;0,1760153;0,1026365;
1008,245;0,1781263;0,105008;
1010,109;0,1804466;0,1075875;
1011,972;0,182777;0,1101756;
1013,836;0,1849234;0,1125782;
1015,700;0,1870119;0,1149215;
1017,563;0,1888278;0,1169908;
1019,427;0,1904165;0,1188316;
1021,291;0,1917272;0,1203929;
1023,154;0,1927583;0,1216734;
1025,018;0,1934975;0,1226605;
1026,882;0,1939939;0,1234034;
1028,745;0,1942077;0,1238625;
1030,609;0,1942791;0,1241778;
1032,473;0,1940964;0,1242378;
1034,336;0,1937052;0,1240879;
1036,200;0,1932245;0,1238472;
1038,064;0,192732;0,1235934;
1039,927;0,1921172;0,123216;
1041,791;0,1913195;0,1226544;
1043,655;0,1903508;0,1219206;
1045,518;0,1894677;0,1212712;
1047,382;0,1886045;0,1206403;
1049,246;0,187716;0,119983;
1051,109;0,1867805;0,1192774;
1052,973;0,1858645;0,1185901;
1054,837;0,1847644;0,1177175;
1056,700;0,1833555;0,1165348;
1058,564;0,1816789;0,1150834;
1060,428;0,1797457;0,1133741;
1062,291;0,1776801;0,1115312;
1064,155;0,1757198;0,1097924;
1066,019;0,173707;0,108;
1067,882;0,1716172;0,1061295;
1069,746;0,1695975;0,1043279;
1071,610;0,1676536;0,102601;
1073,473;0,1656279;0,1007911;
1075,337;0,1636533;0,09903123;
1077,201;0,1617454;0,09733686;
1079,064;0,1599222;0,09572618;
1080,928;0,158142;0,09415743;
1082,792;0,1563889;0,09261465;
1084,655;0,1546469;0,09108184;
1086,519;0,1529871;0,08963013;
1088,383;0,1512838;0,08813394;
1090,246;0,1495418;0,08659796;
1092,110;0,1478132;0,08507432;
1093,974;0,1461576;0,08362268;
1095,837;0,1444379;0,08210584;
1097,701;0,1427228;0,0805926;
1099,565;0,1410596;0,07913021;
1101,428;0,1394523;0,07772271;
1103,292;0,1378251;0,07629431;
1105,156;0,1363127;0,07497967;
1107,019;0,1350826;0,07394631;
1108,883;0,1341374;0,07319691;
1110,747;0,1334826;0,07273696;
1112,610;0,1330332;0,07248138;
1114,474;0,1326517;0,07229269;
1116,338;0,1323928;0,07222574;
1118,201;0,1319872;0,07201104;
1120,065;0,1314333;0,07164718;
1121,929;0,130726;0,07112893;
1123,792;0,1299163;0,07050728;
1125,656;0,1290292;0,06980738;
1127,520;0,1280256;0,06898997;
1129,383;0,1268828;0,06803248;
1131,247;0,1256329;0,06696704;
1133,111;0,1242976;0,06581518;
1134,974;0,1229265;0,06462665;
1136,838;0,1214754;0,06335724;
1138,702;0,1200293;0,06209199;
1140,565;0,1187292;0,06097175;
1142,429;0,1175282;0,05994979;
1144,293;0,1163827;0,05898244;
1146,156;0,1152711;0,05804816;
1148,020;0,1140987;0,05705217;
1149,884;0,11292;0,05604908;
1151,747;0,1116493;0,0549531;
1153,611;0,1103166;0,05379426;
1155,475;0,1090323;0,05268301;
1157,338;0,1078897;0,05171255;
1159,202;0,1067796;0,0507739;
1161,066;0,1057976;0,0499624;
1162,929;0,1048193;0,04915387;
1164,793;0,1038419;0,04834536;
1166,657;0,1029614;0,04763296;
1168,520;0,1021665;0,04700537;
1170,384;0,1013925;0,04639781;
1172,248;0,1005942;0,04576525;
1174,111;0,09979742;0,04513339;
1175,975;0,09910212;0,04460222;
1177,839;0,09854464;0,0442081;
1179,702;0,09826407;0,04409011;
1181,566;0,0982039;0,04419175;
1183,430;0,09822213;0,04437103;
1185,293;0,09841166;0,04472085;
1187,157;0,09884328;0,04531202;
1189,021;0,09942359;0,04605111;
1190,884;0,1000799;0,04686544;
1192,748;0,1008154;0,04775824;
1194,612;0,1016648;0,04876427;
1196,475;0,1025098;0,04976511;
1198,339;0,1034155;0,05082584;
1200,203;0,104341;0,05190575;
1202,066;0,1052796;0,05299803;
1203,930;0,1062501;0,05412145;
1205,794;0,1071995;0,05522315;
1207,657;0,1081567;0,0563319;
1209,521;0,1091001;0,0574261;
1211,385;0,1100176;0,05849381;
1213,248;0,1109117;0,05953733;
1215,112;0,1117363;0,06051073;
1216,976;0,1125764;0,06149887;
1218,839;0,1133327;0,0624026;
1220,703;0,1139532;0,06316982;
1222,567;0,1145053;0,06386799;
1224,430;0,1150901;0,06459817;
1226,294;0,1155471;0,06519993;
1228,158;0,115781;0,06557791;
1230,021;0,1159926;0,06593295;
1231,885;0,116243;0,06632604;
1233,749;0,1164259;0,06665105;
1235,612;0,1165391;0,06690577;
1237,476;0,1165572;0,06706473;
1239,340;0,1165832;0,06723087;
1241,203;0,1166392;0,06742646;
1243,067;0,1167353;0,06766153;
1244,931;0,1167785;0,06784306;
1246,795;0,1168509;0,06805313;
1248,658;0,116949;0,06828832;
1250,522;0,1170809;0,06855671;
1252,386;0,1172802;0,06889195;
1254,249;0,1174983;0,06924531;
1256,113;0,1177292;0,06961081;
1257,977;0,117978;0,06999367;
1259,840;0,1182516;0,07040077;
1261,704;0,1185263;0,07080837;
1263,568;0,1186667;0,07108102;
1265,431;0,1188186;0,07136463;
1267,295;0,1190068;0,07168397;
1269,159;0,1192916;0,07209929;
1271,022;0,1196307;0,07256835;
1272,886;0,1199172;0,07298433;
1274,750;0,1201373;0,07333321;
1276,613;0,1204603;0,07378448;
1278,477;0,1208932;0,07434516;
1280,341;0,121407;0,07498605;
1282,204;0,121978;0,07568364;
1284,068;0,1226391;0,07647081;
1285,932;0,1234635;0,07742068;
1287,795;0,1245128;0,07859502;
1289,659;0,1255531;0,07975972;
1291,523;0,1265576;0,08088812;
1293,386;0,1275551;0,08200891;
1295,250;0,1286243;0,08320098;
1297,114;0,1297198;0,08441872;
1298,977;0,130643;0,08546365;
1300,841;0,1314234;0,08636527;
1302,705;0,1321398;0,08720241;
1304,568;0,1326621;0,08784494;
1306,432;0,133075;0,08837752;
1308,296;0,1333754;0,08879711;
1310,159;0,1334231;0,08896341;
1312,023;0,1334435;0,08910198;
1313,887;0,1333964;0,0891725;
1315,750;0,1331288;0,08902208;
1317,614;0,133087;0,08909693;
1319,478;0,1330708;0,08919688;
1321,341;0,1328332;0,08907496;
1323,205;0,132666;0,08902296;
1325,069;0,1327023;0,08917398;
1326,932;0,1328658;0,0894517;
1328,796;0,1332567;0,08995636;
1330,660;0,1337471;0,09056002;
1332,523;0,1342747;0,09120035;
1334,387;0,1348467;0,09188465;
1336,251;0,135833;0,09298285;
1338,114;0,1375361;0,09479733;
1339,978;0,139599;0,09697116;
1341,842;0,1405102;0,09799276;
1343,705;0,1410353;0,09862789;
1345,569;0,1420796;0,09978168;
1347,433;0,1432652;0,1010764;
1349,296;0,1444462;0,102366;
1351,160;0,1454808;0,1035088;
1353,024;0,1465491;0,1046849;
1354,887;0,1478163;0,1060593;
1356,751;0,14874;0,1070898;
1358,615;0,1495023;0,1079585;
1360,478;0,1510772;0,1096394;
1362,342;0,1538406;0,1125084;
1364,206;0,1555795;0,1143523;
1366,069;0,1559748;0,1148523;
1367,933;0,1571339;0,1161157;
1369,797;0,1583219;0,1174075;
1371,660;0,1591067;0,1182956;
1373,524;0,1610846;0,1203765;
1375,388;0,1628836;0,1222781;
1377,251;0,1632552;0,1227518;
1379,115;0,1638999;0,1234983;
1380,979;0,1645648;0,1242645;
1382,842;0,1649185;0,1247191;
1384,706;0,1653553;0,1252564;
1386,570;0,1667337;0,1267349;
1388,433;0,1677811;0,127882;
1390,297;0,1668615;0,1270617;
1392,161;0,166205;0,1265041;
1394,024;0,1669197;0,1273173;
1395,888;0,1675354;0,128031;
1397,752;0,1669627;0,1275561;
1399,615;0,1662262;0,126917;
1401,479;0,1639252;0,1247129;
1403,343;0,1613502;0,1222344;
1405,206;0,1589977;0,119978;
1407,070;0,1555665;0,1166427;
1408,934;0,1515996;0,1127711;
1410,797;0,1476789;0,1089455;
1412,661;0,143474;0,1048352;
1414,525;0,1391688;0,1006242;
1416,388;0,1357117;0,09726105;
1418,252;0,1337069;0,09534985;
1420,116;0,131473;0,09320912;
1421,979;0,128127;0,08995584;
1423,843;0,125671;0,08759229;
1425,707;0,1234618;0,08547514;
1427,570;0,1214412;0,08354629;
1429,434;0,1203578;0,08255422;
1431,298;0,1191517;0,08143917;
1433,161;0,1176346;0,08001271;
1435,025;0,1176743;0,08014266;
1436,889;0,119669;0,08222728;
1438,752;0,1191257;0,08177357;
1440,616;0,1176423;0,0803794;
1442,480;0,117129;0,07995501;
1444,343;0,1167057;0,07962028;
1446,207;0,1167453;0,07974811;
1448,071;0,1170404;0,08013102;
1449,934;0,1161437;0,07932189;
1451,798;0,1142727;0,07753806;
1453,662;0,1126746;0,07602683;
1455,525;0,1128512;0,07628996;
1457,389;0,1151388;0,07866376;
1459,253;0,1126154;0,07622617;
1461,116;0,1089606;0,07265691;
