;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1516201;-0,005312413;
652,284;0,1510868;-0,004582771;
654,148;0,1504562;-0,00396479;
656,011;0,1497215;-0,003464935;
657,875;0,1490241;-0,002941838;
659,739;0,1483001;-0,002459118;
661,602;0,1476205;-0,001945457;
663,466;0,1466274;-0,001758725;
665,330;0,1450758;-0,002143744;
667,193;0,1454973;-0,0005685613;
669,057;0,1458437;0,000918706;
670,921;0,1443818;0,0005850222;
672,784;0,1436303;0,0009492146;
674,648;0,1428897;0,001312112;
676,512;0,1422868;0,001800453;
678,375;0,1415002;0,002093185;
680,239;0,140903;0,002563615;
682,103;0,1402238;0,00294029;
683,966;0,1395469;0,003307822;
685,830;0,1388661;0,003660163;
687,694;0,1383215;0,004137464;
689,557;0,1375775;0,004404438;
691,421;0,1370087;0,004835696;
693,285;0,1363399;0,005156262;
695,149;0,1356424;0,005437534;
697,012;0,1347942;0,005557652;
698,876;0,1340878;0,005809245;
700,740;0,1333751;0,006044395;
702,603;0,132527;0,00613411;
704,467;0,1315828;0,006117811;
706,331;0,1309596;0,006412806;
708,194;0,130144;0,006505734;
710,058;0,1292679;0,006528579;
711,922;0,1283387;0,006489046;
713,785;0,1275526;0,006583245;
715,649;0,1268814;0,006783303;
717,513;0,1261781;0,006942145;
719,376;0,1254613;0,007078652;
721,240;0,1249413;0,007403055;
723,104;0,1242082;0,007505786;
724,967;0,1234587;0,007583458;
726,831;0,1227148;0,007658305;
728,695;0,1221179;0,007871836;
730,558;0,1213804;0,007936468;
732,422;0,1205653;0,007915354;
734,286;0,119841;0,007977053;
736,149;0,1192112;0,008125265;
738,013;0,1185568;0,008241023;
739,877;0,1179157;0,008362406;
741,740;0,1173;0,008501469;
743,604;0,1168278;0,008776543;
745,468;0,1163381;0,009026638;
747,331;0,1157978;0,009218784;
749,195;0,1152126;0,009358696;
751,059;0,1147262;0,009590282;
752,922;0,1142184;0,009793386;
754,786;0,1137255;0,01000437;
756,650;0,1130879;0,01006373;
758,513;0,1126935;0,01035949;
760,377;0,1123084;0,01065774;
762,241;0,111864;0,01089008;
764,104;0,1114232;0,01111944;
765,968;0,1109534;0,01131331;
767,832;0,1104214;0,01143847;
769,695;0,1100284;0,01169638;
771,559;0,1095813;0,01189382;
773,423;0,1090936;0,01204448;
775,286;0,1087919;0,01237506;
777,150;0,1085779;0,01278733;
779,014;0,108269;0,01309859;
780,877;0,107894;0,01333791;
782,741;0,107466;0,01351841;
784,605;0,1071168;0,01377193;
786,468;0,1066108;0,01386296;
788,332;0,1061084;0,01395192;
790,196;0,1056758;0,01410516;
792,059;0,1051036;0,0141133;
793,923;0,1044636;0,01404818;
795,787;0,1038795;0,0140336;
797,650;0,1031675;0,01388582;
799,514;0,1024249;0,01370212;
801,378;0,101688;0,01351897;
803,241;0,1010165;0,01339615;
805,105;0,100345;0,01326827;
806,969;0,09963958;0,01310137;
808,832;0,09881861;0,01281401;
810,696;0,09808093;0,01260504;
812,560;0,09736717;0,01241515;
814,423;0,0966398;0,01220688;
816,287;0,0958156;0,01189704;
818,151;0,09498895;0,01158007;
820,014;0,09420625;0,01130243;
821,878;0,09352788;0,01112455;
823,742;0,09277275;0,0108654;
825,605;0,09196865;0,0105528;
827,469;0,09128311;0,01035434;
829,333;0,0906542;0,01020815;
831,196;0,08979086;0,009823209;
833,060;0,08904633;0,009552807;
834,924;0,08840107;0,009377449;
836,787;0,08782972;0,00927182;
838,651;0,08721431;0,009118004;
840,515;0,08656014;0,008921344;
842,378;0,08587764;0,008692315;
844,242;0,08537618;0,008640328;
846,106;0,08506763;0,008777302;
847,969;0,08488257;0,009033859;
849,833;0,08487863;0,009467661;
851,697;0,0852452;0,01026816;
853,560;0,08556308;0,01101619;
855,424;0,08587146;0,01175098;
857,288;0,08613832;0,01244054;
859,151;0,08620079;0,01292205;
861,015;0,08601996;0,01315665;
862,879;0,08571677;0,0132653;
864,742;0,08516156;0,01311839;
866,606;0,08439598;0,0127576;
868,470;0,08347846;0,01224142;
870,333;0,08248612;0,01164697;
872,197;0,08144152;0,01099688;
874,061;0,08050648;0,01045299;
875,924;0,07948592;0,009820253;
877,788;0,0785675;0,00928637;
879,652;0,07772823;0,008828392;
881,515;0,07692111;0,008399339;
883,379;0,07627517;0,008128291;
885,243;0,07575712;0,007981968;
887,106;0,0753414;0,007934867;
888,970;0,07510552;0,008064524;
890,834;0,07494053;0,008262017;
892,697;0,07480096;0,008481906;
894,561;0,07474574;0,008783163;
896,425;0,0747221;0,009113031;
898,288;0,07463039;0,009371907;
900,152;0,07461011;0,009699314;
902,016;0,07470637;0,0101404;
903,879;0,07493446;0,01071047;
905,743;0,07507536;0,01119054;
907,607;0,07521828;0,01166985;
909,470;0,07543589;0,01222111;
911,334;0,07566837;0,01278451;
913,198;0,07590471;0,01334907;
915,061;0,07616313;0,01393305;
916,925;0,0763228;0,01441563;
918,789;0,0764502;0,01486332;
920,652;0,07663359;0,01536442;
922,516;0,07683957;0,01588555;
924,380;0,07695187;0,01631046;
926,243;0,07718735;0,01685604;
928,107;0,07755126;0,01752757;
929,971;0,07790065;0,01818211;
931,834;0,07828887;0,01887304;
933,698;0,07869605;0,01958053;
935,562;0,07907856;0,02026096;
937,425;0,07953267;0,02101062;
939,289;0,08001099;0,02178216;
941,153;0,08062905;0,0226911;
943,016;0,08121727;0,02356792;
944,880;0,08183705;0,02447404;
946,744;0,0825056;0,02542666;
948,607;0,08317258;0,02637549;
950,471;0,08384094;0,02732349;
952,335;0,08448771;0,02824771;
954,198;0,08509191;0,02912721;
956,062;0,08583252;0,03014097;
957,926;0,08667663;0,03125611;
959,789;0,08745481;0,03230322;
961,653;0,08811295;0,0332282;
963,517;0,08878095;0,034161;
965,380;0,08955552;0,03519831;
967,244;0,09034321;0,03624673;
969,108;0,09096622;0,03712846;
970,972;0,09159877;0,03801775;
972,835;0,09236904;0,0390428;
974,699;0,0932163;0,0401429;
976,563;0,09399808;0,04117558;
978,426;0,09475528;0,04218177;
980,290;0,09547961;0,04315321;
982,154;0,09624769;0,04416653;
984,017;0,09706699;0,04522921;
985,881;0,09798799;0,04639176;
987,745;0,09895171;0,04759521;
989,608;0,09997558;0,048857;
991,472;0,1010679;0,0501855;
993,336;0,1022187;0,05157058;
995,199;0,1033103;0,05289481;
997,063;0,1044497;0,05426513;
998,927;0,1056454;0,05569001;
1000,790;0,1068739;0,05714597;
1002,654;0,108111;0,05860883;
1004,518;0,1094067;0,06012859;
1006,381;0,1106764;0,06162071;
1008,245;0,1119043;0,06306948;
1010,109;0,11312;0,06450434;
1011,972;0,1143803;0,06598221;
1013,836;0,1156094;0,06742729;
1015,700;0,1168002;0,06883246;
1017,563;0,1179224;0,07016742;
1019,427;0,1189642;0,07142052;
1021,291;0,1198475;0,07251355;
1023,154;0,1206698;0,07354403;
1025,018;0,1214054;0,07448627;
1026,882;0,1220083;0,07529439;
1028,745;0,1225384;0,07602824;
1030,609;0,1231232;0,07681521;
1032,473;0,1236019;0,07749465;
1034,336;0,1239164;0,07800849;
1036,200;0,1241726;0,07846261;
1038,064;0,1243873;0,07887384;
1039,927;0,1244589;0,0791405;
1041,791;0,1244131;0,0792884;
1043,655;0,1242322;0,07929972;
1045,518;0,1239333;0,07919178;
1047,382;0,123467;0,07891509;
1049,246;0,1229663;0,07860263;
1051,109;0,1223931;0,07821627;
1052,973;0,121793;0,07780178;
1054,837;0,1212195;0,07741258;
1056,700;0,1206305;0,0770065;
1058,564;0,1199966;0,0765543;
1060,428;0,1193661;0,07610418;
1062,291;0,1186666;0,07558381;
1064,155;0,1179944;0,07508956;
1066,019;0,1173771;0,07464884;
1067,882;0,1167261;0,07417333;
1069,746;0,1159909;0,07361228;
1071,610;0,1152698;0,07306422;
1073,473;0,1145656;0,07253174;
1075,337;0,1138529;0,0719897;
1077,201;0,1130691;0,07137529;
1079,064;0,1123042;0,07077864;
1080,928;0,1115429;0,07018441;
1082,792;0,1107594;0,06956692;
1084,655;0,1099176;0,0688899;
1086,519;0,1090569;0,0681929;
1088,383;0,1081574;0,06745593;
1090,246;0,1071817;0,06664173;
1092,110;0,1062274;0,06584775;
1093,974;0,1053629;0,06514256;
1095,837;0,1044892;0,06442698;
1097,701;0,1036857;0,06378062;
1099,565;0,1029165;0,06316741;
1101,428;0,1021503;0,06255621;
1103,292;0,1013779;0,06193774;
1105,156;0,1007059;0,06141865;
1107,019;0,1000461;0,06091073;
1108,883;0,0994266;0,06044211;
1110,747;0,09884795;0,06001332;
1112,610;0,09831978;0,05963399;
1114,474;0,09774471;0,05920677;
1116,338;0,09712561;0,05873453;
1118,201;0,09651795;0,05827276;
1120,065;0,09588923;0,05778897;
1121,929;0,09522152;0,05726522;
1123,792;0,09452567;0,05671237;
1125,656;0,09377219;0,05610095;
1127,520;0,09304965;0,05551953;
1129,383;0,09230051;0,05491058;
1131,247;0,09152742;0,05427676;
1133,111;0,09073373;0,05362142;
1134,974;0,08998902;0,05301416;
1136,838;0,08929412;0,05245581;
