;May04_TPC_06-04-0_HMW;May04_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1382411;-0,005570429;
652,284;0,1374952;-0,005243123;
654,148;0,1368256;-0,004851818;
656,011;0,1361491;-0,004479364;
657,875;0,1355354;-0,004056019;
659,739;0,134927;-0,003638965;
661,602;0,1344726;-0,003079579;
663,466;0,1338277;-0,002721963;
665,330;0,1322702;-0,003288153;
667,193;0,1318923;-0,002685709;
669,057;0,1333008;-0,0003078613;
670,921;0,1319731;-0,0006769847;
672,784;0,130991;-0,0007109802;
674,648;0,1304105;-0,0003538883;
676,512;0,1299892;0,0001520365;
678,375;0,1293549;0,0004349468;
680,239;0,1288508;0,0008379137;
682,103;0,1282112;0,001095525;
683,966;0,1276004;0,00137215;
685,830;0,1270061;0,001655713;
687,694;0,1266541;0,002172096;
689,557;0,126223;0,002599992;
691,421;0,1257281;0,002954845;
693,285;0,1250737;0,003141077;
695,149;0,1245296;0,003428592;
697,012;0,1240445;0,003766351;
698,876;0,1235815;0,004117338;
700,740;0,1228394;0,004180593;
702,603;0,1221346;0,004272677;
704,467;0,1214655;0,004392065;
706,331;0,1207991;0,004505829;
708,194;0,1200511;0,004529792;
710,058;0,1194191;0,004661699;
711,922;0,1187588;0,004757252;
713,785;0,1180324;0,004778917;
715,649;0,1173163;0,004803117;
717,513;0,1167735;0,004992905;
719,376;0,1161334;0,005077787;
721,240;0,1155708;0,005232748;
723,104;0,1150217;0,005393787;
724,967;0,1146153;0,005690314;
726,831;0,1141207;0,00589133;
728,695;0,1135895;0,006048809;
730,558;0,1129807;0,006121548;
732,422;0,1124128;0,006228328;
734,286;0,1118365;0,006319803;
736,149;0,1114141;0,006558491;
738,013;0,1110456;0,00684442;
739,877;0,1107313;0,007178039;
741,740;0,1104266;0,007514665;
743,604;0,1101484;0,007871419;
745,468;0,1097524;0,008103971;
747,331;0,1094579;0,008431834;
749,195;0,1092245;0,008814653;
751,059;0,108973;0,009173174;
752,922;0,1086598;0,009464027;
754,786;0,1084213;0,009823658;
756,650;0,1081344;0,01012896;
758,513;0,1078815;0,01046253;
760,377;0,1076229;0,01078454;
762,241;0,1074157;0,0111524;
764,104;0,1071671;0,01147316;
765,968;0,1069759;0,01184585;
767,832;0,1067158;0,01214423;
769,695;0,1064693;0,0124508;
771,559;0,1061192;0,01264834;
773,423;0,1058272;0,01289876;
775,286;0,1056261;0,01323497;
777,150;0,1054696;0,01361048;
779,014;0,1051837;0,01385163;
780,877;0,1049595;0,0141494;
782,741;0,1047796;0,0144866;
784,605;0,1046142;0,01483326;
786,468;0,1043117;0,01503808;
788,332;0,104009;0,0152379;
790,196;0,103675;0,01540168;
792,059;0,1032791;0,01549886;
793,923;0,1027983;0,01550652;
795,787;0,1023913;0,01558344;
797,650;0,101932;0,01560352;
799,514;0,1014548;0,01560131;
801,378;0,1010057;0,01562271;
803,241;0,1005359;0,0156191;
805,105;0,1000197;0,01556479;
806,969;0,0995485;0,01555121;
808,832;0,09901069;0,01546681;
810,696;0,09836906;0,01527443;
812,560;0,0976374;0,01498791;
814,423;0,0968543;0,01464588;
816,287;0,09614123;0,01436986;
818,151;0,09550567;0,01416738;
820,014;0,09486495;0,01395581;
821,878;0,0943589;0,01387503;
823,742;0,09390064;0,01383819;
825,605;0,09333614;0,01369133;
827,469;0,09273729;0,01350636;
829,333;0,09235214;0,01353138;
831,196;0,09192851;0,01351423;
833,060;0,0915065;0,0134951;
834,924;0,09102196;0,01340984;
836,787;0,09045252;0,01323612;
838,651;0,08984489;0,01302071;
840,515;0,08924244;0,01280701;
842,378;0,08867845;0,01262833;
844,242;0,0882362;0,012568;
846,106;0,08766002;0,01237038;
847,969;0,08711917;0,01220477;
849,833;0,08681337;0,01227092;
851,697;0,08664849;0,01247475;
853,560;0,08654252;0,01273429;
855,424;0,08655221;0,01310629;
857,288;0,08652293;0,01343618;
859,151;0,08651407;0,01378339;
861,015;0,08662266;0,01424497;
862,879;0,08671386;0,01468611;
864,742;0,08668731;0,01500649;
866,606;0,08668121;0,01534435;
868,470;0,08661979;0,01562394;
870,333;0,08642749;0,01576973;
872,197;0,08620324;0,0158807;
874,061;0,0859911;0,01600092;
875,924;0,08578239;0,01612174;
877,788;0,08566517;0,01633126;
879,652;0,08557987;0,01656995;
881,515;0,08549156;0,01680288;
883,379;0,08546267;0,01709253;
885,243;0,08556454;0,01751026;
887,106;0,08565352;0,01791246;
888,970;0,0858112;0,01838074;
890,834;0,08594426;0,0188218;
892,697;0,08611241;0,01929539;
894,561;0,08631213;0,019798;
896,425;0,08652862;0,02031487;
898,288;0,08673623;0,02082037;
900,152;0,08703307;0,02141264;
902,016;0,08735308;0,02202565;
903,879;0,08764548;0,02260863;
905,743;0,08794605;0,0231974;
907,607;0,08834841;0,02388559;
909,470;0,0888601;0,02468078;
911,334;0,08932358;0,02542545;
913,198;0,08969546;0,02607621;
915,061;0,09010095;0,02675833;
916,925;0,09051238;0,02744413;
918,789;0,09086839;0,02807231;
920,652;0,09122437;0,02869824;
922,516;0,09165332;0,02939497;
924,380;0,09201659;0,03002387;
926,243;0,09246792;0,03073869;
928,107;0,09294137;0,03147353;
929,971;0,09341681;0,03220826;
931,834;0,09392714;0,0329758;
933,698;0,09451529;0,03381912;
935,562;0,095209;0,03476597;
937,425;0,0959059;0,035714;
939,289;0,09654609;0,03660334;
941,153;0,09724027;0,03754469;
943,016;0,09799156;0,03854121;
944,880;0,09884078;0,03963372;
946,744;0,09957232;0,04060664;
948,607;0,1003705;0,04164434;
950,471;0,1011988;0,04271022;
952,335;0,1020253;0,0437725;
954,198;0,1029146;0,04489569;
956,062;0,1037855;0,04599868;
957,926;0,1045865;0,04702995;
959,789;0,1054783;0,04815025;
961,653;0,1064209;0,04931961;
963,517;0,1073868;0,05051056;
965,380;0,1083369;0,05168389;
967,244;0,1092647;0,05283322;
969,108;0,1102357;0,05402402;
970,972;0,1113822;0,05538875;
972,835;0,1124873;0,05671032;
974,699;0,1135159;0,05795377;
976,563;0,1144665;0,05911753;
978,426;0,1153657;0,0602283;
980,290;0,1162393;0,06131185;
982,154;0,1171103;0,06239129;
984,017;0,1179467;0,06343442;
985,881;0,1188103;0,06450326;
987,745;0,119671;0,06556772;
989,608;0,1206831;0,06678193;
991,472;0,1218037;0,06810316;
993,336;0,1229641;0,06946274;
995,199;0,124226;0,07092227;
997,063;0,1255951;0,07248757;
998,927;0,1268658;0,07395296;
1000,790;0,1281686;0,07544909;
1002,654;0,1295234;0,07699567;
1004,518;0,1308828;0,07854551;
1006,381;0,1322658;0,08011756;
1008,245;0,1336654;0,08170479;
1010,109;0,1350454;0,083271;
1011,972;0,1364079;0,08481837;
1013,836;0,1376527;0,08624661;
1015,700;0,1389087;0,0876848;
1017,563;0,140007;0,08896391;
1019,427;0,1409494;0,09008579;
1021,291;0,1417966;0,09111122;
1023,154;0,1425722;0,09206379;
