;May25_TPC_02-06-02_LMW;May25_TPC_02-06-02_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,05140249;0,003560498;
652,284;0,05084389;0,003232355;
654,148;0,05029254;0,002909499;
656,011;0,0498156;0,002659115;
657,875;0,04961649;0,002684625;
659,739;0,04948826;0,002779121;
661,602;0,04931641;0,002828119;
663,466;0,04912731;0,002858007;
665,330;0,04867342;0,002621267;
667,193;0,04875011;0,002913287;
669,057;0,04946134;0,003838046;
670,921;0,04908129;0,00366976;
672,784;0,04937602;0,00417449;
674,648;0,04960487;0,004611598;
676,512;0,04967101;0,004884285;
678,375;0,04966971;0,005087828;
680,239;0,04982746;0,005448739;
682,103;0,04988609;0,005708878;
683,966;0,04994611;0,005968752;
685,830;0,05002014;0,00624101;
687,694;0,05020302;0,006620503;
689,557;0,05030376;0,006916274;
691,421;0,05023925;0,007045216;
693,285;0,05017035;0,007168203;
695,149;0,05015291;0,007341118;
697,012;0,05009574;0,007472779;
698,876;0,04999401;0,00755836;
700,740;0,0496758;0,007425985;
702,603;0,04949743;0,007431955;
704,467;0,04919286;0,007310283;
706,331;0,04889303;0,007191895;
708,194;0,04855067;0,007029544;
710,058;0,04823844;0,006895907;
711,922;0,04801658;0,006851242;
713,785;0,04793539;0,006945865;
715,649;0,04757601;0,006760922;
717,513;0,04691235;0,006270339;
719,376;0,04652864;0,006058372;
721,240;0,04638251;0,006082645;
723,104;0,0461089;0,005978123;
724,967;0,04590991;0,005946929;
726,831;0,04570135;0,005904869;
728,695;0,04544702;0,005815757;
730,558;0,04527755;0,005810249;
732,422;0,04507319;0,005768603;
734,286;0,04480826;0,00566515;
736,149;0,0445888;0,005605933;
738,013;0,0444563;0,005632476;
739,877;0,04413088;0,005464888;
741,740;0,04377831;0,005268963;
743,604;0,04368386;0,005329994;
745,468;0,04357936;0,005379798;
747,331;0,04344315;0,005396744;
749,195;0,04315904;0,005264644;
751,059;0,0429352;0,005191684;
752,922;0,04285674;0,00526299;
754,786;0,0428645;0,005419403;
756,650;0,04266578;0,005368246;
758,513;0,04250972;0,005358659;
760,377;0,04246094;0,005455276;
762,241;0,04236969;0,005508353;
764,104;0,04222401;0,00550595;
765,968;0,04216149;0,005585666;
767,832;0,04214975;0,005715122;
769,695;0,0421676;0,00587314;
771,559;0,04214;0,005984705;
773,423;0,04214093;0,006123786;
775,286;0,04208286;0,006202875;
777,150;0,04205269;0,006308873;
779,014;0,04213272;0,006524103;
780,877;0,04218631;0,006711927;
782,741;0,04224171;0,006900598;
784,605;0,04236088;0,007152087;
786,468;0,042349;0,00727159;
788,332;0,04227393;0,007326983;
790,196;0,04225838;0,007440963;
792,059;0,04223429;0,007545489;
793,923;0,04220522;0,007644134;
795,787;0,0422418;0,007807532;
797,650;0,04228835;0,007980013;
799,514;0,04231497;0,00813168;
801,378;0,04235017;0,008291054;
803,241;0,04260067;0,008664871;
805,105;0,04300631;0,009192973;
806,969;0,04363589;0,009944169;
808,832;0,04477208;0,01120113;
810,696;0,04592789;0,01247688;
812,560;0,0465869;0,013255;
814,423;0,04826466;0,01505106;
816,287;0,05209822;0,01900212;
818,151;0,05934427;0,02636486;
820,014;0,07275201;0,03988848;
821,878;0,09320947;0,06046105;
823,742;0,1093669;0,07673277;
825,605;0,1014485;0,068928;
827,469;0,07564761;0,04323986;
829,333;0,05642019;0,02412446;
